source,target,predicate,ev_count
1_2_diacylglycerol,Protein_Kinase_C,STIMULATES,628
1_4_dioxin,Toxic_effect,CAUSES,101
1_Methyl_4_phenyl_1_2_3_6_tetrahydropyridine,Nerve_Degeneration,CAUSES,113
1_Methyl_4_phenyl_1_2_3_6_tetrahydropyridine,Parkinson_Disease,CAUSES,988
1_Methyl_4_phenyl_1_2_3_6_tetrahydropyridine,Parkinsonian_Disorders,CAUSES,280
1_Methyl_4_phenyl_1_2_3_6_tetrahydropyridine,Dopamine,STIMULATES,106
2019_novel_coronavirus,COVID_19,CAUSES,10414
2019_novel_coronavirus,Communicable_Diseases,CAUSES,519
2019_novel_coronavirus,Inflammation,CAUSES,114
2019_novel_coronavirus,Pneumonia,CAUSES,250
20_hydroxy_5_8_11_14_eicosatetraenoic_acid,Hypertension,CAUSES,10
2_2_6_6_tetramethyl_4_piperidinol_N_oxyl,Hypertension,PREVENTS,13
2_cyclopentyl_5_5_isoquinolylsulfonyl_6_nitro_1H_benzo_D_imidazole,Growth,DISRUPTS,120
3_4_Methylenedioxyamphetamine,Superoxide_Dismutase,STIMULATES,218
3_methyladenine,Autophagy,DISRUPTS,574
4_methoxyamphetamine,Protein_Kinase_C,STIMULATES,227
9_10_Dimethyl_1_2_benzanthracene,Carcinogenesis,CAUSES,238
9_10_Dimethyl_1_2_benzanthracene,Mammary_Neoplasms,CAUSES,433
9_10_Dimethyl_1_2_benzanthracene,Neoplasm,CAUSES,412
APP_gene,Alzheimers,CAUSES,492
APP_gene,Apoptosis,CAUSES,199
APP_gene,Cell_Death,CAUSES,149
APP_gene,Cessation_of_life,CAUSES,123
APP_gene,Toxic_effect,CAUSES,243
APP_gene,cytotoxicity,CAUSES,118
APP_protein_human,Alzheimers,CAUSES,598
ATM_gene_ATM,Hypertension,CAUSES,11
ATPase_Aminophospholipid_Transporter_Like_Class_I_Type_8A_Member_2_ATP8A2,uptake,AUGMENTS,258
ATPase_Aminophospholipid_Transporter_Like_Class_I_Type_8A_Member_2_ATP8A2,CA2,STIMULATES,760
ATPase_Aminophospholipid_Transporter_Like_Class_I_Type_8A_Member_2_ATP8A2,Calcium,STIMULATES,608
ATPase_Aminophospholipid_Transporter_Like_Class_I_Type_8A_Member_2_ATP8A2,Chromatin,STIMULATES,340
ATPase_Aminophospholipid_Transporter_Like_Class_I_Type_8A_Member_2_ATP8A2,Macromolecular_alteration,STIMULATES,215
ATPase_Aminophospholipid_Transporter_Like_Class_I_Type_8A_Member_2_ATP8A2,Membrane_Transport_Proteins,STIMULATES,252
ATPase_Aminophospholipid_Transporter_Like_Class_I_Type_8A_Member_2_ATP8A2,Phosphorylation,STIMULATES,229
ATPase_Aminophospholipid_Transporter_Like_Class_I_Type_8A_Member_2_ATP8A2,Potassium_Channel,STIMULATES,286
Ablation,Hypertension,PREVENTS,13
Abnormal_renal_function,Hypertension,CAUSES,11
Abscisic_Acid,Growth,DISRUPTS,127
Acetaminophen,Liver,AUGMENTS,476
Acetaminophen,Hepatotoxicity,CAUSES,1284
Acetaminophen,Injury,CAUSES,1602
Acetaminophen,Liver_Failure_Acute,CAUSES,307
Acetaminophen,Liver_damage,CAUSES,316
Acetaminophen,Toxic_effect,CAUSES,167
Acetate,Hypertension,CAUSES,90
Acetic_Acid,Gastric_ulcer,CAUSES,280
Acetylcholine,Endothelium,AUGMENTS,338
Acetylcholine,Pathological_Dilatation,CAUSES,410
Acetylcholine,Vasodilation,CAUSES,785
Acetylcholine,Nicotinic_Receptors,STIMULATES,101
Acetylcholine,Nitric_Oxide,STIMULATES,400
Acetylcholinesterase,Alzheimers,CAUSES,17
Acetylcysteine,Apoptosis,DISRUPTS,152
Acetylcysteine,Kidney_Diseases,PREVENTS,140
Acetylcysteine,Oxidative_Stress,PREVENTS,147
Acids,Injury,CAUSES,160
Acinetobacter_baumannii,Infection,CAUSES,257
Aconitine,cardiac_arrhythmia,CAUSES,151
Acquired_Immunodeficiency_Syndrome,Cessation_of_life,CAUSES,868
Acute_myocardial_infarction,Cessation_of_life,CAUSES,690
Adenosine,Vasodilation,CAUSES,204
Adenosine_Diphosphate,Platelet_aggregation,AUGMENTS,394
Adenosine_Monophosphate,Phosphotransferases,STIMULATES,259
Adipocytes,Adiponectin,PRODUCES,247
Adipocytes,Leptin_LEP,PRODUCES,670
Adipocytes,cytokine,PRODUCES,114
Adiponectin,Obesity,PREVENTS,142
Adipose_tissue,Adiponectin,PRODUCES,211
