node,node_type,in_degree,out_degree,total_degree,betweenness,pagerank,in_cycle,scc_id,scc_size
Hypertension,exposure,241,97,338,0.096331,0.060590,True,218,172
Reactive_Oxygen_Species,regular,37,30,67,0.047607,0.034478,True,218,172
Alzheimers,outcome,131,25,156,0.038314,0.035266,True,218,172
cytokine,regular,48,37,85,0.038018,0.012980,True,218,172
Lipopolysaccharides,regular,8,108,116,0.032374,0.001903,True,218,172
Apoptosis,regular,161,6,167,0.029267,0.066410,True,218,172
Nitric_Oxide,regular,21,17,38,0.022353,0.004648,True,218,172
Inflammation,regular,51,9,60,0.016543,0.009209,True,218,172
Neurons,regular,7,16,23,0.014259,0.002957,True,218,172
Insulin_Resistance,regular,14,7,21,0.007762,0.002032,True,218,172
Glucose,regular,4,10,14,0.006585,0.001028,True,218,172
Insulin,regular,4,24,28,0.006283,0.001334,True,218,172
TNF_protein_human_TNF,regular,12,45,57,0.006098,0.001998,True,218,172
T_Lymphocyte,regular,12,14,26,0.005764,0.001967,True,218,172
Injury,regular,41,11,52,0.005486,0.005077,True,218,172
NF_kappa_B,regular,9,4,13,0.005371,0.002288,True,218,172
Infection,regular,31,6,37,0.004961,0.005519,True,218,172
Angiotensin_II,regular,1,21,22,0.004559,0.000813,True,218,172
Neoplasm,regular,14,11,25,0.004162,0.002008,True,218,172
Phosphorylation,regular,27,2,29,0.004023,0.005360,True,218,172
Antioxidants,regular,3,14,17,0.003688,0.001735,True,218,172
neutrophil,regular,9,3,12,0.003534,0.002598,True,218,172
Oxidative_Stress,regular,34,8,42,0.003342,0.004217,True,218,172
Malignant_Neoplasms,regular,10,2,12,0.003196,0.000959,True,218,172
Obesity,regular,11,13,24,0.003176,0.001931,True,218,172
Heart_failure,regular,16,4,20,0.003056,0.005382,True,218,172
Cerebrovascular_accident,regular,19,5,24,0.003033,0.004111,True,218,172
Lesion,regular,4,2,6,0.002949,0.001330,True,218,172
B_Lymphocytes,regular,4,7,11,0.002862,0.000983,True,218,172
Toxic_effect,regular,33,3,36,0.002783,0.004758,True,218,172
Obstruction,regular,3,13,16,0.002677,0.000945,True,218,172
receptor,regular,4,13,17,0.002618,0.000698,True,218,172
