confounder,n_confounder_parents,confounder_parents,is_butterfly
Agent,0,,False
Antihypertensive_Agents,0,,False
Antioxidants,0,,False
Chronic_inflammation,0,,False
Diet,0,,False
Estrogens,0,,False
Exercise,0,,False
IMPACT_gene,0,,False
Injection_procedure,0,,False
Intestinal_Microbiome,0,,False
Lipopolysaccharides,0,,False
MicroRNAs,0,,False
Mutation,0,,False
Physical_activity,0,,False
Polymorphism_Genetic,0,,False
Streptozocin,0,,False
Study_models,0,,False
Supplementation,0,,False
dietary_intervention,0,,False
imbalance,0,,False
polyphenols,0,,False
receptor,0,,False
regular_physical_activity,0,,False
