node,node_type,in_degree,out_degree,total_degree,betweenness,pagerank,in_cycle,scc_id,scc_size
Hypertension,exposure,217,90,307,0.219789,0.221116,True,68,37
Alzheimers,outcome,105,18,123,0.083562,0.123484,True,68,37
Degenerative_abnormality,regular,1,2,3,0.024950,0.006847,True,68,37
Inflammation,regular,2,2,4,0.024950,0.008935,True,68,37
20_hydroxy_5_8_11_14_eicosatetraenoic_acid,regular,0,1,1,0.000000,0.001015,False,69,1
Abnormal_renal_function,regular,1,1,2,0.000000,0.003104,True,68,37
Acetate,regular,0,1,1,0.000000,0.001015,False,70,1
Acetylcholinesterase,regular,0,1,1,0.000000,0.001015,False,71,1
adenoma,regular,0,1,1,0.000000,0.001015,False,72,1
Administration_Oral,regular,0,1,1,0.000000,0.001015,False,73,1
Adrenal_Cortex_Hormones,regular,0,1,1,0.000000,0.001015,False,74,1
Adrenal_Gland_Neoplasms,regular,0,1,1,0.000000,0.001015,False,75,1
Adrenergic_Receptor,regular,0,1,1,0.000000,0.001015,False,76,1
Agent,regular,0,2,2,0.000000,0.001015,False,77,1
alanosine,regular,0,1,1,0.000000,0.001015,False,78,1
Aldosterone,regular,0,1,1,0.000000,0.001015,False,79,1
aluminum,regular,0,1,1,0.000000,0.001015,False,80,1
aluminum_chloride,regular,0,1,1,0.000000,0.001015,False,81,1
Aging,regular,1,0,1,0.000000,0.006847,False,1,1
Amyloid_deposition,regular,1,1,2,0.000000,0.006847,True,68,37
Atrophic,regular,1,1,2,0.000000,0.006847,True,68,37
Cerebral_atrophy,regular,1,1,2,0.000000,0.006847,True,68,37
Cessation_of_life,regular,2,0,2,0.000000,0.008935,False,2,1
Dementia_Vascular,regular,2,0,2,0.000000,0.008935,False,3,1
Disability_NOS,regular,2,0,2,0.000000,0.008935,False,4,1
Evaluation,regular,1,0,1,0.000000,0.006847,False,5,1
Evaluation_procedure,regular,1,0,1,0.000000,0.006847,False,6,1
Lewy_Body_Disease,regular,1,0,1,0.000000,0.006847,False,7,1
Memory_Loss,regular,1,0,1,0.000000,0.006847,False,8,1
Neurodegenerative_Disorders,regular,1,1,2,0.000000,0.006847,True,68,37
Neurofibrillary_Tangles,regular,1,1,2,0.000000,0.006847,True,68,37
Parkinson_Disease,regular,1,1,2,0.000000,0.006847,True,68,37
Senile_dementia,regular,1,0,1,0.000000,0.006847,False,9,1
Senile_Plaques,regular,1,0,1,0.000000,0.006847,False,10,1
Amyloid,regular,0,1,1,0.000000,0.001015,False,82,1
Amyloid_beta,regular,0,1,1,0.000000,0.001015,False,83,1
Amyloid_beta_Peptides,regular,0,1,1,0.000000,0.001015,False,84,1
Amyloid_beta_Protein_Precursor,regular,0,1,1,0.000000,0.001015,False,85,1
Amyloid_Fibrils,regular,0,1,1,0.000000,0.001015,False,86,1
Amyloidosis,regular,0,1,1,0.000000,0.001015,False,87,1
Androgens,regular,0,1,1,0.000000,0.001015,False,88,1
Angiogenesis_Inhibitors,regular,0,1,1,0.000000,0.001015,False,89,1
angiotensin_II,regular,0,1,1,0.000000,0.001015,False,90,1
Angiotensins,regular,0,1,1,0.000000,0.001015,False,91,1
Antihypertensive_Agents,regular,0,1,1,0.000000,0.001015,False,92,1
Antioxidants,regular,0,2,2,0.000000,0.001015,False,93,1
aorta_constriction,regular,0,1,1,0.000000,0.001015,False,94,1
Aortic_coarctation,regular,0,1,1,0.000000,0.001015,False,95,1
Apolipoprotein_E4,regular,0,1,1,0.000000,0.001015,False,96,1
Apolipoprotein_E_APOE,regular,0,1,1,0.000000,0.001015,False,97,1
APP_gene,regular,0,1,1,0.000000,0.001015,False,98,1
APP_protein_human,regular,0,1,1,0.000000,0.001015,False,99,1
Arginine,regular,0,1,1,0.000000,0.001015,False,100,1
arginine_methyl_ester,regular,0,1,1,0.000000,0.001015,False,101,1
Argipressin,regular,0,1,1,0.000000,0.001015,False,102,1
Atherosclerosis,regular,1,1,2,0.000000,0.003104,True,68,37
Atherosclerotic_renal_artery_stenosis,regular,0,1,1,0.000000,0.001015,False,103,1
ATM_gene_ATM,regular,0,1,1,0.000000,0.001015,False,104,1
Autonomic_Dysreflexia,regular,0,1,1,0.000000,0.001015,False,105,1
Banding_procedure,regular,0,1,1,0.000000,0.001015,False,106,1
beta_site_APP_cleaving_enzyme_1_BACE1,regular,0,1,1,0.000000,0.001015,False,107,1
bevacizumab,regular,0,1,1,0.000000,0.001015,False,108,1
Bilateral_renal_artery_stenosis,regular,0,1,1,0.000000,0.001015,False,109,1
Blood_Pressure_Monitoring_Ambulatory,regular,0,1,1,0.000000,0.001015,False,110,1
Brain_Injuries,regular,0,1,1,0.000000,0.001015,False,111,1
Cadmium,regular,0,1,1,0.000000,0.001015,False,112,1
Calcineurin_inhibitor,regular,0,1,1,0.000000,0.001015,False,113,1
Calcium,regular,0,1,1,0.000000,0.001015,False,114,1
Candidate_Disease_Gene,regular,0,1,1,0.000000,0.001015,False,115,1
