node,scc_id,scc_size
Chronic_Kidney_Diseases,68,37
Diabetes,68,37
Obesity,68,37
Fibrosis,68,37
Abnormal_renal_function,68,37
Inflammation,68,37
Pre_Eclampsia,68,37
Essential_Hypertension,68,37
Neurofibrillary_Tangles,68,37
Renal_Insufficiency,68,37
Hypertension,68,37
Pathogenesis,68,37
Cardiovascular_Diseases,68,37
Hypertrophy,68,37
Ischemia,68,37
Diabetes_Mellitus_Non_Insulin_Dependent,68,37
Insulin_Resistance,68,37
Heart_failure,68,37
Endothelial_dysfunction,68,37
Kidney_Failure,68,37
Atherosclerosis,68,37
Diabetic_Nephropathy,68,37
Vascular_Diseases,68,37
Fetal_Growth_Retardation,68,37
Kidney_Diseases,68,37
Atrophic,68,37
Kidney_Failure_Chronic,68,37
Parkinson_Disease,68,37
Degenerative_abnormality,68,37
Cerebrovascular_accident,68,37
Neurodegenerative_Disorders,68,37
Cerebral_atrophy,68,37
Hypoxia,68,37
Alzheimers,68,37
Diabetes_Mellitus,68,37
Amyloid_deposition,68,37
Stiffness,68,37
Abdominal_compartment_syndrome,0,1
Aging,1,1
Cessation_of_life,2,1
Dementia_Vascular,3,1
Disability_NOS,4,1
Evaluation,5,1
Evaluation_procedure,6,1
Lewy_Body_Disease,7,1
Memory_Loss,8,1
Senile_dementia,9,1
Senile_Plaques,10,1
Arteriosclerosis,11,1
Atrial_Fibrillation,12,1
Blood_Pressure,13,1
Brain_Edema,14,1
Brain_hemorrhage,15,1
cardiac_arrhythmia,16,1
Cardiac_complication,17,1
Cardiac_Hypertrophy,18,1
Cardiomyopathies,19,1
Cardiovascular_morbidity,20,1
Cerebral_Edema,21,1
Cerebral_hemisphere_hemorrhage,22,1
Cerebral_Hemorrhage,23,1
Cerebrovascular_Disorders,24,1
Chronic_heart_failure,25,1
Congestive_heart_failure,26,1
Coronary_Arteriosclerosis,27,1
Coronary_heart_disease,28,1
Diastolic_dysfunction,29,1
Dissection_of_aorta,30,1
Edema,31,1
Encephalopathies,32,1
end_organ_damage,33,1
End_stage_renal_failure,34,1
Erectile_dysfunction,35,1
Extravasation,36,1
Glomerulosclerosis,37,1
Growth,38,1
Headache,39,1
Heart_Diseases,40,1
Hospital_admission,41,1
Hospitalization,42,1
Hypertension_Pulmonary,43,1
Hypertensive_heart_disease_NOS,44,1
Hypertrophic_Cardiomyopathy,45,1
Hypertrophy_Left_Ventricular,46,1
Infarction,47,1
Intracranial_Hemorrhages,48,1
Ischemic_stroke,49,1
Kidney_Failure_Acute,50,1
Labor_Childbirth,51,1
Lack_of_sensation,52,1
Myocardial_dysfunction,53,1
Myocardial_fibrosis,54,1
Myocardial_Infarction,55,1
Myocardial_Ischemia,56,1
Nephrosclerosis,57,1
Pathological_Dilatation,58,1
Posterior_reversible_encephalopathy_syndrome,59,1
Pregnancy,60,1
Premature_Birth,61,1
Proteinuria,62,1
Pulmonary_Edema,63,1
Purpura_Thrombotic_Thrombocytopenic,64,1
Spastic_syndrome,65,1
Ventricular_Dysfunction_Left,66,1
Ventricular_hypertrophy,67,1
20_hydroxy_5_8_11_14_eicosatetraenoic_acid,69,1
Acetate,70,1
Acetylcholinesterase,71,1
adenoma,72,1
Administration_Oral,73,1
Adrenal_Cortex_Hormones,74,1
Adrenal_Gland_Neoplasms,75,1
Adrenergic_Receptor,76,1
Agent,77,1
alanosine,78,1
Aldosterone,79,1
aluminum,80,1
aluminum_chloride,81,1
Amyloid,82,1
Amyloid_beta,83,1
Amyloid_beta_Peptides,84,1
Amyloid_beta_Protein_Precursor,85,1
Amyloid_Fibrils,86,1
Amyloidosis,87,1
Androgens,88,1
Angiogenesis_Inhibitors,89,1
angiotensin_II,90,1
Angiotensins,91,1
Antihypertensive_Agents,92,1
Antioxidants,93,1
aorta_constriction,94,1
Aortic_coarctation,95,1
Apolipoprotein_E4,96,1
Apolipoprotein_E_APOE,97,1
APP_gene,98,1
APP_protein_human,99,1
Arginine,100,1
arginine_methyl_ester,101,1
Argipressin,102,1
Atherosclerotic_renal_artery_stenosis,103,1
ATM_gene_ATM,104,1
Autonomic_Dysreflexia,105,1
Banding_procedure,106,1
beta_site_APP_cleaving_enzyme_1_BACE1,107,1
bevacizumab,108,1
Bilateral_renal_artery_stenosis,109,1
Blood_Pressure_Monitoring_Ambulatory,110,1
Brain_Injuries,111,1
Cadmium,112,1
Calcineurin_inhibitor,113,1
Calcium,114,1
Candidate_Disease_Gene,115,1
Catecholamines,116,1
Cerebral_Amyloid_Angiopathy,117,1
Cerebrospinal_Fluid,118,1
Cholesterol,119,1
Chronic_inflammation,120,1
Chymosin_REN,121,1
Clip,122,1
Clipping,123,1
Closure_by_clamp,124,1
Cocaine,125,1
Compression_procedure,126,1
Congenital_Abnormality,127,1
Conn_Syndrome,128,1
Constriction_procedure,129,1
Contraceptives_Oral,130,1
Copper,131,1
Corticosterone,132,1
Corticotropin,133,1
COVID_19,134,1
Cushing_Syndrome,135,1
Cyclosporine,136,1
cytokine,137,1
Dementia,138,1
Denervation,139,1
Deoxycorticosterone,140,1
desoxycorticosterone_acetate,141,1
Deterioration,142,1
Dexamethasone,143,1
Diet,144,1
Diet_High_Fat,145,1
Diet_Protein_Restricted,146,1
DNA_Mitochondrial,147,1
DOCA,148,1
Dopamine,149,1
Dopamine_Receptor,150,1
Down_Syndrome,151,1
Drinking_Water,152,1
Embolism,153,1
Emotional_Stress,154,1
Endocrine_System_Diseases,155,1
Endopeptidases,156,1
Endothelin,157,1
Endothelin_1,158,1
Epinephrine,159,1
ERCC8_CSH1_HSPA9,160,1
Erythropoietin,161,1
Estrogens,162,1
Ethanol,163,1
Excision,164,1
Fibromuscular_Dysplasia,165,1
Fluid_overload,166,1
Free_Radicals,167,1
fructose,168,1
galactose,169,1
gamma_secretase,170,1
Gene_Mutation,171,1
gene_therapy,172,1
Glucocorticoid_remediable_aldosteronism,173,1
Glucocorticoids,174,1
