cycle_id,cycle_length,nodes
1,2,Pre_Eclampsia -> Hypertension
2,4,Disease -> Alzheimers -> Degenerative_abnormality -> Hypertension
3,2,Disease -> Alzheimers
4,4,Disease -> Alzheimers -> Functional_disorder -> Hypertension
5,4,Disease -> Alzheimers -> Inflammation -> Hypertension
6,4,Disease -> Alzheimers -> Symptoms -> Hypertension
7,4,Disease -> Alzheimers -> Syndrome -> Hypertension
8,4,Disease -> Hypertension -> Adverse_effects -> Alzheimers
9,3,Disease -> Hypertension -> Alzheimers
10,4,Disease -> Hypertension -> Diabetes -> Alzheimers
11,4,Disease -> Hypertension -> Diabetes_Mellitus_Non_Insulin_Dependent -> Alzheimers
12,2,Disease -> Hypertension
13,4,Disease -> Hypertension -> Functional_disorder -> Alzheimers
14,4,Disease -> Hypertension -> Hypoxia -> Alzheimers
15,4,Disease -> Hypertension -> Inflammation -> Alzheimers
16,4,Disease -> Hypertension -> Insulin_Resistance -> Alzheimers
17,4,Disease -> Hypertension -> Ischemia -> Alzheimers
18,4,Disease -> Hypertension -> Obesity -> Alzheimers
19,4,Disease -> Hypertension -> Pathogenesis -> Alzheimers
20,4,Disease -> Hypertension -> Symptoms -> Alzheimers
21,4,Disease -> Hypertension -> Vascular_Diseases -> Alzheimers
22,2,Stiffness -> Hypertension
23,2,Abnormal_renal_function -> Hypertension
24,4,Syndrome -> Hypertension -> Adverse_effects -> Alzheimers
25,3,Syndrome -> Hypertension -> Alzheimers
26,4,Syndrome -> Hypertension -> Diabetes -> Alzheimers
27,4,Syndrome -> Hypertension -> Diabetes_Mellitus_Non_Insulin_Dependent -> Alzheimers
28,4,Syndrome -> Hypertension -> Functional_disorder -> Alzheimers
29,4,Syndrome -> Hypertension -> Hypoxia -> Alzheimers
30,4,Syndrome -> Hypertension -> Inflammation -> Alzheimers
31,4,Syndrome -> Hypertension -> Insulin_Resistance -> Alzheimers
32,4,Syndrome -> Hypertension -> Ischemia -> Alzheimers
33,4,Syndrome -> Hypertension -> Obesity -> Alzheimers
34,4,Syndrome -> Hypertension -> Pathogenesis -> Alzheimers
35,4,Syndrome -> Hypertension -> Symptoms -> Alzheimers
36,2,Syndrome -> Hypertension
37,4,Syndrome -> Hypertension -> Vascular_Diseases -> Alzheimers
38,4,Diabetes -> Alzheimers -> Degenerative_abnormality -> Hypertension
39,4,Diabetes -> Alzheimers -> Functional_disorder -> Hypertension
40,4,Diabetes -> Alzheimers -> Inflammation -> Hypertension
41,4,Diabetes -> Alzheimers -> Symptoms -> Hypertension
42,2,Diabetes -> Hypertension
43,2,Kidney_Failure_Chronic -> Hypertension
44,2,Cardiovascular_Diseases -> Hypertension
45,2,Essential_Hypertension -> Hypertension
46,2,Parkinson_Disease -> Alzheimers
47,2,Fibrosis -> Hypertension
48,4,Vascular_Diseases -> Alzheimers -> Degenerative_abnormality -> Hypertension
49,4,Vascular_Diseases -> Alzheimers -> Functional_disorder -> Hypertension
50,4,Vascular_Diseases -> Alzheimers -> Inflammation -> Hypertension
