node,num_cycles
Hypertension,114
Alzheimers,91
Disease,20
Functional_disorder,20
Inflammation,20
Symptoms,20
Degenerative_abnormality,15
Syndrome,15
Adverse_effects,7
Diabetes,7
Hypoxia,7
Insulin_Resistance,7
Ischemia,7
Obesity,7
Pathogenesis,7
Vascular_Diseases,7
Diabetes_Mellitus_Non_Insulin_Dependent,6
Pre_Eclampsia,1
Stiffness,1
Abnormal_renal_function,1
Kidney_Failure_Chronic,1
Cardiovascular_Diseases,1
Essential_Hypertension,1
Parkinson_Disease,1
Fibrosis,1
Cerebrovascular_accident,1
Neurofibrillary_Tangles,1
Chronic_Kidney_Diseases,1
Amyloid_deposition,1
Atrophic,1
Cerebral_atrophy,1
Neurodegenerative_Disorders,1
Atherosclerosis,1
Complication,1
Contraction,1
Diabetes_Mellitus,1
Diabetic_Nephropathy,1
Endothelial_dysfunction,1
Fetal_Growth_Retardation,1
Heart_failure,1
Hypertrophy,1
Kidney_Diseases,1
Kidney_Failure,1
Renal_Insufficiency,1
