node,num_cycles
Hypertension,47
Alzheimers,27
Inflammation,12
Degenerative_abnormality,11
Diabetes,3
Vascular_Diseases,3
Hypoxia,3
Insulin_Resistance,3
Ischemia,3
Obesity,3
Pathogenesis,3
Diabetes_Mellitus_Non_Insulin_Dependent,2
Pre_Eclampsia,1
Stiffness,1
Abnormal_renal_function,1
Kidney_Failure_Chronic,1
Cardiovascular_Diseases,1
Essential_Hypertension,1
Parkinson_Disease,1
Fibrosis,1
Cerebrovascular_accident,1
Neurofibrillary_Tangles,1
Chronic_Kidney_Diseases,1
Amyloid_deposition,1
Atrophic,1
Cerebral_atrophy,1
Neurodegenerative_Disorders,1
Diabetic_Nephropathy,1
Contraction,1
Kidney_Diseases,1
Atherosclerosis,1
Diabetes_Mellitus,1
Endothelial_dysfunction,1
Fetal_Growth_Retardation,1
Heart_failure,1
Hypertrophy,1
Kidney_Failure,1
Renal_Insufficiency,1
