source,target,predicate,ev_count
1_4_dioxin,Toxic_effect,CAUSES,101
1_Methyl_4_phenyl_1_2_3_6_tetrahydropyridine,Nerve_Degeneration,CAUSES,113
1_Methyl_4_phenyl_1_2_3_6_tetrahydropyridine,Parkinson_Disease,CAUSES,494
2019_novel_coronavirus,COVID_19,CAUSES,5207
2019_novel_coronavirus,Inflammation,CAUSES,114
20_hydroxy_5_8_11_14_eicosatetraenoic_acid,Hypertension,CAUSES,10
9_10_Dimethyl_1_2_benzanthracene,Neoplasm,CAUSES,206
APP_gene,Alzheimers,CAUSES,492
APP_gene,Apoptosis,CAUSES,199
APP_gene,Cell_Death,CAUSES,149
APP_gene,Cessation_of_life,CAUSES,123
APP_gene,Toxic_effect,CAUSES,243
APP_gene,cytotoxicity,CAUSES,118
APP_protein_human,Alzheimers,CAUSES,598
ATM_gene_ATM,Hypertension,CAUSES,11
Abnormal_renal_function,Hypertension,CAUSES,11
Acetaminophen,Injury,CAUSES,801
Acetaminophen,Toxic_effect,CAUSES,167
Acetate,Hypertension,CAUSES,90
Acetylcholine,Pathological_Dilatation,CAUSES,205
Acetylcholinesterase,Alzheimers,CAUSES,17
Acids,Injury,CAUSES,160
Aconitine,cardiac_arrhythmia,CAUSES,151
Acquired_Immunodeficiency_Syndrome,Cessation_of_life,CAUSES,434
Acute_myocardial_infarction,Cessation_of_life,CAUSES,345
Administration_Oral,Hypertension,CAUSES,20
Adrenal_Cortex_Hormones,Hypertension,CAUSES,28
Adrenal_Cortex_Hormones,Osteoporosis,CAUSES,291
Adrenal_Cortical_Adenoma,Cushing_Syndrome,CAUSES,101
Adrenal_Gland_Neoplasms,Hypertension,CAUSES,10
Adrenal_adenoma,Cushing_Syndrome,CAUSES,113
Adrenergic_Receptor,Hypertension,CAUSES,11
Adriamycin,Cardiomyopathies,CAUSES,146
Adriamycin,Kidney_Diseases,CAUSES,255
Agent,Alzheimers,CAUSES,21
Agent,Hypertension,CAUSES,31
Agent,Infection,CAUSES,211
Agent,Inflammation,CAUSES,123
Agent,Injury,CAUSES,204
Agent,Neoplasm,CAUSES,109
Agent,Occupational_asthma,CAUSES,100
Agent,Toxic_effect,CAUSES,254
Aldosterone,Hypertension,CAUSES,84
Allergens,Inflammation,CAUSES,510
Alloxan,Diabetes,CAUSES,194
Alloxan,Diabetes_Mellitus,CAUSES,135
Alloxan,Hyperglycemia,CAUSES,106
Alzheimers,Aging,CAUSES,25
Alzheimers,Amyloid_deposition,CAUSES,10
Alzheimers,Atrophic,CAUSES,21
Alzheimers,Cerebral_atrophy,CAUSES,21
Alzheimers,Cessation_of_life,CAUSES,672
Alzheimers,Degenerative_abnormality,CAUSES,31
Alzheimers,Dementia_Vascular,CAUSES,10
Alzheimers,Disability_NOS,CAUSES,43
Alzheimers,Evaluation,CAUSES,10
Alzheimers,Evaluation_procedure,CAUSES,10
Alzheimers,Inflammation,CAUSES,22
Alzheimers,Lewy_Body_Disease,CAUSES,10
Alzheimers,Memory_Loss,CAUSES,28
Alzheimers,Neurodegenerative_Disorders,CAUSES,29
Alzheimers,Neurofibrillary_Tangles,CAUSES,16
Alzheimers,Parkinson_Disease,CAUSES,14
Alzheimers,Senile_Plaques,CAUSES,25
Alzheimers,Senile_dementia,CAUSES,38
Amyloid,Alzheimers,CAUSES,540
Amyloid,Apoptosis,CAUSES,115
Amyloid,Toxic_effect,CAUSES,160
Amyloid_Fibrils,Alzheimers,CAUSES,31
Amyloid_beta,Alzheimers,CAUSES,30
Amyloid_beta_Peptides,Alzheimers,CAUSES,718
Amyloid_beta_Protein_Precursor,Alzheimers,CAUSES,539
Amyloid_deposition,Alzheimers,CAUSES,46
Amyloidosis,Alzheimers,CAUSES,19
Amyloidosis,Heart_failure,CAUSES,106
Amyotrophic_Lateral_Sclerosis,Cessation_of_life,CAUSES,131
Anaphylaxis,Cessation_of_life,CAUSES,106
Androgens,Hypertension,CAUSES,13
Aneurysm_Dissecting,Cerebrovascular_accident,CAUSES,102
Angiogenesis_Inhibitors,Hypertension,CAUSES,21
Angiotensin_II,Apoptosis,CAUSES,205
Angiotensin_II,Cardiac_Hypertrophy,CAUSES,382
Angiotensin_II,Fibrosis,CAUSES,172
Angiotensin_II,Hypertension,CAUSES,1661
Angiotensin_II,Hypertensive,CAUSES,123
Angiotensin_II,Hypertrophy,CAUSES,426
Angiotensin_II,Oxidative_Stress,CAUSES,125
Angiotensin_II,Water_consumption,CAUSES,151
Angiotensins,Hypertension,CAUSES,32
Anti_Inflammatory_Agents_Non_Steroidal,Injury,CAUSES,319
Antigens,Inflammation,CAUSES,252
Antihypertensive_Agents,Hypertension,CAUSES,13
Antioxidants,Alzheimers,CAUSES,23
Antioxidants,Apoptosis,CAUSES,156
Antioxidants,Hypertension,CAUSES,20
Antioxidants,Oxidative_Stress,CAUSES,364
Aortic_coarctation,Hypertension,CAUSES,62
Apolipoprotein_E4,Alzheimers,CAUSES,36
Apolipoprotein_E_APOE,Alzheimers,CAUSES,68
Arginine,Hypertension,CAUSES,15
Arginine,Pancreatitis,CAUSES,132
Argipressin,Hypertension,CAUSES,45
Arsenic,Oxidative_Stress,CAUSES,176
Arteriosclerosis,Cardiovascular_Diseases,CAUSES,244
Arteriosclerosis,Cessation_of_life,CAUSES,131
Arthritis,Disability_NOS,CAUSES,142
Asphyxia,Cessation_of_life,CAUSES,261
Aspiration_Pneumonia,Cessation_of_life,CAUSES,105
Aspirin,Injury,CAUSES,124
Asthma,Cessation_of_life,CAUSES,146
Asthma,Hospitalization,CAUSES,196
Atherosclerosis,Cardiovascular_Diseases,CAUSES,283
Atherosclerosis,Cerebrovascular_accident,CAUSES,213
Atherosclerosis,Cessation_of_life,CAUSES,470
Atherosclerosis,Hypertension,CAUSES,18
Atherosclerosis,Myocardial_Infarction,CAUSES,149
Atherosclerotic_renal_artery_stenosis,Hypertension,CAUSES,21
Atrial_Fibrillation,Cerebrovascular_accident,CAUSES,310
Atrial_Fibrillation,Ischemic_stroke,CAUSES,124
Atrophic,Alzheimers,CAUSES,10
Autonomic_Dysreflexia,Hypertension,CAUSES,11
Bacteria,Cessation_of_life,CAUSES,176
Bacteria,Inflammation,CAUSES,303
Bacteria,Inflammatory_Response,CAUSES,142
Bacterial_Infections,Cessation_of_life,CAUSES,157
Bacterial_Infections,Inflammation,CAUSES,163
Banding_procedure,Cardiac_Hypertrophy,CAUSES,107
Banding_procedure,Hypertension,CAUSES,13
Bilateral_renal_artery_stenosis,Hypertension,CAUSES,17
Blast,Traumatic_Brain_Injury,CAUSES,243
Bleomycin,Fibrosis,CAUSES,550
Bleomycin,Injury,CAUSES,525
Blood_Pressure_Monitoring_Ambulatory,Hypertension,CAUSES,10
Bradykinin,Edema,CAUSES,100
Bradykinin,Extravasation,CAUSES,123
Brain_Injuries,Alzheimers,CAUSES,10
Bronchiolitis,Hospitalization,CAUSES,147
CD69_protein_human_CD69,Cessation_of_life,CAUSES,101
COLLAGENASE,Cerebral_hemisphere_hemorrhage,CAUSES,201
COVID_19,Cessation_of_life,CAUSES,1500
COVID_19,Challenge,CAUSES,331
COVID_19,Cytokine_Storm,CAUSES,117
COVID_19,Hospitalization,CAUSES,411
COVID_19,Hypertension,CAUSES,17
COVID_19,Inflammation,CAUSES,147
COVID_19,Pneumonia,CAUSES,241
COVID_19,Respiratory_Distress_Syndrome_Adult,CAUSES,422
COVID_19,Respiratory_Failure,CAUSES,156
COVID_19,Severe_Acute_Respiratory_Syndrome,CAUSES,105
COVID_19,Telemedicine,CAUSES,115
CRYGC_CRYGEP,Injury,CAUSES,161
Cadmium,Hypertension,CAUSES,47
Cadmium,Injury,CAUSES,121
Cadmium,Oxidative_Stress,CAUSES,513
Cadmium,Toxic_effect,CAUSES,150
Calcineurin_inhibitor,Hypertension,CAUSES,13
Calcium,Hypertension,CAUSES,10
Candidate_Disease_Gene,Hypertension,CAUSES,11
Carbon_Tetrachloride,Fibrosis,CAUSES,184
Carbon_Tetrachloride,Injury,CAUSES,500
Carbon_tetrachloride_homeopathic_preparation,Fibrosis,CAUSES,113
Carbon_tetrachloride_homeopathic_preparation,Injury,CAUSES,122
Carcinogens,Neoplasm,CAUSES,537
Cardiac_Hypertrophy,Heart_failure,CAUSES,138
Cardiac_complication,Cessation_of_life,CAUSES,120
Cardiomyopathies,Cessation_of_life,CAUSES,199
Cardiomyopathies,Heart_failure,CAUSES,303
Cardiomyopathies_Primary,Heart_failure,CAUSES,109
Cardiomyopathy_Dilated,Congestive_heart_failure,CAUSES,109
Cardiomyopathy_Dilated,Heart_failure,CAUSES,435
Cardiopulmonary_Bypass,Inflammation,CAUSES,107
Cardiopulmonary_Bypass,Inflammatory_Response,CAUSES,203
Cardiovascular_Diseases,Cessation_of_life,CAUSES,6288
Cardiovascular_Diseases,Hospitalization,CAUSES,113
Cardiovascular_Diseases,Hypertension,CAUSES,29
Cardiovascular_arteriosclerosis_unspecified,Cessation_of_life,CAUSES,115
Catecholamines,Cardiomyopathies,CAUSES,143
Catecholamines,Hypertension,CAUSES,38
