node,node_type,in_degree,out_degree,total_degree,betweenness,pagerank,in_cycle,scc_id,scc_size
Hypertension,exposure,217,90,307,0.089490,0.116404,True,75,50
Alzheimers,outcome,105,18,123,0.026091,0.065214,True,75,50
Inflammation,regular,46,7,53,0.013290,0.016653,True,75,50
Degenerative_abnormality,regular,4,4,8,0.007205,0.004915,True,75,50
Injury,regular,39,10,49,0.004819,0.009737,False,104,1
Obesity,regular,8,12,20,0.003699,0.003094,True,75,50
Toxic_effect,regular,29,2,31,0.003344,0.007191,False,76,1
Heart_failure,regular,16,4,20,0.003277,0.010976,True,75,50
Insulin_Resistance,regular,14,6,20,0.003010,0.004420,True,75,50
Fibrosis,regular,18,3,21,0.002890,0.007202,True,75,50
Ischemia,regular,8,9,17,0.002711,0.003265,True,75,50
Oxidative_Stress,regular,28,6,34,0.002635,0.005958,False,148,1
Cerebrovascular_accident,regular,9,5,14,0.002269,0.004814,True,75,50
Neoplasm,regular,11,4,15,0.001731,0.004580,True,92,2
Hypertrophic_Cardiomyopathy,regular,2,2,4,0.001611,0.001687,False,41,1
Diabetes,regular,12,10,22,0.001355,0.003910,True,75,50
COVID_19,regular,5,11,16,0.000939,0.002323,False,87,1
Kidney_Failure_Chronic,regular,7,2,9,0.000918,0.003694,True,75,50
Hypercalcemia,regular,5,1,6,0.000831,0.003747,False,90,1
Hypoxia,regular,2,5,7,0.000821,0.001923,True,75,50
Hypertension_Pulmonary,regular,4,1,5,0.000807,0.002970,False,37,1
Hyperinsulinism,regular,1,2,3,0.000802,0.001204,True,75,50
Inflammatory_Response,regular,11,2,13,0.000765,0.002750,False,101,1
Parkinson_Disease,regular,10,1,11,0.000717,0.007434,True,75,50
Myocardial_Infarction,regular,10,2,12,0.000485,0.004795,True,75,50
Atherosclerosis,regular,5,5,10,0.000476,0.005508,True,75,50
Cushing_Syndrome,regular,2,1,3,0.000475,0.001560,False,120,1
Thrombosis,regular,2,5,7,0.000475,0.001560,False,615,1
Kidney_Diseases,regular,4,5,9,0.000465,0.002501,True,75,50
Hypertrophy,regular,5,1,6,0.000459,0.003573,True,75,50
Obstruction,regular,3,13,16,0.000305,0.001175,False,311,1
Cardiovascular_Diseases,regular,7,3,10,0.000304,0.007972,True,75,50
Nerve_Degeneration,regular,4,1,5,0.000239,0.001333,False,78,1
Down_Syndrome,regular,1,1,2,0.000237,0.001069,False,285,1
Hyperuricemia,regular,1,1,2,0.000237,0.001069,False,383,1
Traumatic_Brain_Injury,regular,1,2,3,0.000237,0.001069,False,177,1
Vasospasm,regular,1,2,3,0.000237,0.001069,False,596,1
Fetal_Growth_Retardation,regular,2,1,3,0.000236,0.002169,True,75,50
Impaired_cognition,regular,3,1,4,0.000236,0.000960,False,391,1
Hyperglycemia,regular,8,4,12,0.000131,0.002112,True,75,50
Chronic_Kidney_Diseases,regular,2,1,3,0.000116,0.001923,True,75,50
Diabetes_Mellitus,regular,3,4,7,0.000066,0.001890,True,75,50
