node,node_type,in_degree,out_degree,total_degree
Disease,regular,282,87,369
Hypertension,exposure,231,98,329
Cessation_of_life,regular,191,0,191
Apoptosis,regular,155,5,160
Alzheimers,outcome,118,23,141
Mutation,regular,0,135,135
Inflammation,regular,108,24,132
Injury,regular,77,36,113
Toxic_effect,regular,80,7,87
Oxidative_Stress,regular,67,12,79
Infection,regular,59,19,78
Pharmaceutical_Preparations,regular,0,78,78
Lipopolysaccharides,regular,0,76,76
Therapeutic_procedure,regular,0,70,70
Complication,regular,60,7,67
Contraction,regular,64,2,66
Functional_disorder,regular,44,16,60
Fibrosis,regular,43,5,48
Neoplasm,regular,35,11,46
Ethanol,regular,0,45,45
Heart_failure,regular,40,5,45
Ischemia,regular,20,25,45
Obstruction,regular,20,25,45
Adverse_effects,regular,40,4,44
Cell_Death,regular,43,1,44
Obesity,regular,19,24,43
Syndrome,regular,35,8,43
Diabetes,regular,22,20,42
Inflammatory_Response,regular,33,5,38
COVID_19,regular,7,30,37
Cerebrovascular_accident,regular,25,12,37
Septicemia,regular,22,15,37
Diet,regular,0,36,36
Virus,regular,0,36,36
Insulin_Resistance,regular,22,13,35
Pneumonia,regular,25,9,34
Symptoms,regular,24,10,34
Disability_NOS,regular,30,1,31
Malignant_Neoplasms,regular,25,5,30
Parkinson_Disease,regular,24,5,29
Atherosclerosis,regular,16,12,28
Pharmacotherapy,regular,0,27,27
Hospitalization,regular,26,0,26
Myocardial_Infarction,regular,17,9,26
Hyperglycemia,regular,16,9,25
Injection_procedure,regular,0,25,25
Edema,regular,24,0,24
Genes,regular,0,24,24
Proteins,regular,0,24,24
Stress,regular,15,9,24
cytokine,regular,0,23,23
Degenerative_abnormality,regular,13,9,22
Kidney_Failure_Acute,regular,21,1,22
Angiotensin_II,regular,0,21,21
Endothelial_dysfunction,regular,17,4,21
Wounds_and_Injuries,regular,0,21,21
Blind_Vision,regular,20,0,20
Hypertrophy,regular,16,4,20
Lesion,regular,12,8,20
Ligation,regular,0,20,20
TNF_protein_human_TNF,regular,0,20,20
Agent,regular,0,19,19
Cardiovascular_Diseases,regular,12,7,19
Lack_of_sensation,regular,19,0,19
Nerve_Degeneration,regular,16,3,19
Reactive_Oxygen_Species,regular,0,19,19
Bacteria,regular,0,18,18
Cardiomyopathies,regular,13,5,18
Diabetes_Mellitus_Non_Insulin_Dependent,regular,11,7,18
Diet_High_Fat,regular,0,18,18
Kidney_Failure_Chronic,regular,14,4,18
Streptozocin,regular,0,18,18
Study_models,regular,0,18,18
Cisplatin,regular,0,17,17
Seizures,regular,15,2,17
Thrombosis,regular,9,8,17
Asthma,regular,10,6,16
DNA_Damage,regular,16,0,16
Glucose,regular,0,16,16
Hypoxia,regular,7,9,16
agonists,regular,0,16,16
cardiac_arrhythmia,regular,14,2,16
Ischemic_stroke,regular,12,3,15
Operative_Surgical_Procedures,regular,0,15,15
Pain,regular,13,2,15
cytotoxicity,regular,15,0,15
Diabetes_Mellitus,regular,5,9,14
Epilepsy,regular,12,2,14
Fibrosis_Liver,regular,13,1,14
Kidney_Diseases,regular,8,6,14
2019_novel_coronavirus,regular,0,13,13
Anemia,regular,12,1,13
Congenital_Abnormality,regular,8,5,13
Degenerative_polyarthritis,regular,9,4,13
End_stage_renal_failure,regular,12,1,13
Glucocorticoids,regular,0,13,13
Hypercalcemia,regular,12,1,13
Pancreatitis,regular,11,2,13
Process,regular,0,13,13
Vasodilation,regular,13,0,13
Doxorubicin,regular,0,12,12
Extravasation,regular,11,1,12
Growth,regular,12,0,12
Hypertension_Pulmonary,regular,10,2,12
Isoproterenol,regular,0,12,12
Meningitis,regular,11,1,12
Neurodegenerative_Disorders,regular,9,3,12
Nitric_Oxide,regular,0,12,12
Staphylococcus_aureus,regular,0,12,12
APP_gene,regular,0,11,11
Anti_Inflammatory_Agents_Non_Steroidal,regular,0,11,11
Cadmium,regular,0,11,11
Chronic_Obstructive_Airway_Disease,regular,5,6,11
Chronic_inflammation,regular,8,3,11
Endotoxins,regular,0,11,11
Hydrogen_Peroxide,regular,0,11,11
Infections_Hospital,regular,10,1,11
Kidney_Failure,regular,9,2,11
Streptococcus_pneumoniae,regular,0,11,11
Traumatic_Brain_Injury,regular,4,7,11
depolarization,regular,11,0,11
Carcinogenesis,regular,10,0,10
Colitis,regular,10,0,10
Communicable_Diseases,regular,7,3,10
Estrogens,regular,0,10,10
Hypersensitivity,regular,7,3,10
Malnutrition,regular,3,7,10
Organism,regular,0,10,10
Steroids,regular,0,10,10
Acetaminophen,regular,0,9,9
Antipsychotic_Agents,regular,0,9,9
Arthritis,regular,7,2,9
Atrophic,regular,8,1,9
Bleomycin,regular,0,9,9
Chemicals,regular,0,9,9
Coronary_Arteriosclerosis,regular,3,6,9
Diagnosis,regular,8,1,9
Diarrhea,regular,6,3,9
Down_Regulation,regular,6,3,9
Escherichia_coli,regular,0,9,9
Glutamate,regular,0,9,9
Helicobacter_pylori,regular,0,9,9
Hospital_admission,regular,9,0,9
Infarction,regular,6,3,9
Insulin,regular,0,9,9
Liver_diseases,regular,7,2,9
Mouse_Model,regular,9,0,9
Myocardial_Ischemia,regular,6,3,9
NEPHROTOXICITY,regular,9,0,9
Pathogenic_organism,regular,0,9,9
Peptides,regular,0,9,9
Vaccines,regular,0,9,9
Virus_Diseases,regular,2,7,9
hypoglycemia,regular,8,1,9
Adhesions,regular,4,4,8
Amyloid,regular,0,8,8
