node,scc_id,scc_size
Atherosclerosis,127,98
Arteriosclerosis,127,98
Myocardial_Ischemia,127,98
Hypertrophic_Cardiomyopathy,127,98
Heart_Diseases,127,98
Cerebrovascular_accident,127,98
Contraction,127,98
Amyotrophic_Lateral_Sclerosis,127,98
Kidney_Diseases,127,98
Symptoms,127,98
Chronic_liver_disease_NOS,127,98
Mitral_Valve_Insufficiency,127,98
Parkinson_Disease,127,98
Non_alcoholic_fatty_liver,127,98
Hypertension,127,98
Diabetic_Nephropathy,127,98
Atrophic,127,98
Liver_diseases,127,98
Degenerative_abnormality,127,98
Asthma,127,98
Disease,127,98
Thrombosis,127,98
Spastic_syndrome,127,98
Thrombophilia,127,98
Dyslipidemias,127,98
Physical_findings,127,98
Chronic_Obstructive_Airway_Disease,127,98
Myocarditis,127,98
Autoimmune_Diseases,127,98
Pathogenesis,127,98
Sleep_Apnea_Obstructive,127,98
Atrial_Fibrillation,127,98
Diagnosis,127,98
Syndrome,127,98
Hyperinsulinism,127,98
Hypoxia,127,98
Metabolic_syndrome,127,98
Inflammatory_Bowel_Diseases,127,98
Insulin_Resistance,127,98
Adverse_effects,127,98
Infarction,127,98
Acute_myocardial_infarction,127,98
Degenerative_polyarthritis,127,98
Obesity,127,98
Stiffness,127,98
Hypertrophy,127,98
Deglutition_Disorders,127,98
Kidney_Failure_Chronic,127,98
Diastolic_dysfunction,127,98
Hyperglycemia,127,98
Hypertension_Portal,127,98
Diabetes_Mellitus,127,98
Pain,127,98
Ventricular_Dysfunction_Left,127,98
Endothelial_dysfunction,127,98
Cardiomyopathies,127,98
Vascular_Diseases,127,98
Cardiac_Hypertrophy,127,98
Infection,127,98
Heart_failure,127,98
Diabetes,127,98
Coronary_Arteriosclerosis,127,98
Autoimmune,127,98
Chronic_inflammation,127,98
Coronary_heart_disease,127,98
Pancreatitis,127,98
Septicemia,127,98
Cardiovascular_Diseases,127,98
Fetal_Growth_Retardation,127,98
Complication,127,98
Renal_Insufficiency,127,98
Amyloid_deposition,127,98
Metabolic_Diseases,127,98
Pneumonia,127,98
Neurodegenerative_Disorders,127,98
Inflammation,127,98
COVID_19,127,98
Malnutrition,127,98
Pre_Eclampsia,127,98
Ischemia,127,98
Chronic_Kidney_Diseases,127,98
Cerebral_atrophy,127,98
Diabetes_Mellitus_Non_Insulin_Dependent,127,98
Severe_Acute_Respiratory_Syndrome,127,98
Ischemic_stroke,127,98
Neurofibrillary_Tangles,127,98
Shock,127,98
Essential_Hypertension,127,98
Rheumatoid_Arthritis,127,98
Fibrosis,127,98
Myocardial_Infarction,127,98
Functional_disorder,127,98
Abnormal_renal_function,127,98
Hydronephrosis,127,98
Kidney_Failure,127,98
Inflammatory_Response,127,98
Alzheimers,127,98
Obstruction,127,98
Apoptosis,133,6
Autophagy,133,6
Cell_Survival,133,6
Cell_Death,133,6
Cell_Proliferation,133,6
Cell_Cycle_Arrest,133,6
Neoplasm_Metastasis,162,4
Malignant_Neoplasms,162,4
tumor_growth,162,4
Neoplasm,162,4
Seizures,46,2
Epilepsy,46,2
Up_Regulation_Physiology,301,2
Down_Regulation,301,2
Aging,0,1
Cessation_of_life,1,1
Anemia,2,1
Asthenia,3,1
Disability_NOS,4,1
Dyspnea,5,1
Hospital_admission,6,1
Hospitalization,7,1
Abdominal_compartment_syndrome,8,1
Blind_Vision,9,1
Dehydration,10,1
Diarrhea,11,1
End_stage_renal_failure,12,1
Erectile_dysfunction,13,1
Hyperparathyroidism_Secondary,14,1
Consultation,15,1
Intervention_regimes,16,1
Chronic_Disease,17,1
Right_ventricular_failure,18,1
Hypertension_Pulmonary,19,1
Chronic_pain,20,1
hypoglycemia,21,1
Fatty_Liver,22,1
Congestive_heart_failure,23,1
Death_Sudden,24,1
Death_Sudden_Cardiac,25,1
Disseminated_Intravascular_Coagulation,26,1
Kidney_Failure_Acute,27,1
Multiple_Organ_Failure,28,1
Myocardial_dysfunction,29,1
Puncture_procedure,30,1
Respiratory_Distress_Syndrome_Adult,31,1
Single_organ_dysfunction,32,1
Infertility,33,1
Polycystic_Ovary_Syndrome,34,1
Immune_response,35,1
Parkinsonian_Disorders,36,1
Wound_Healing,37,1
Neuropathy,38,1
nervous_system_disorder,39,1
Growth,40,1
Acute_respiratory_failure,41,1
Respiratory_Failure,42,1
Labor_Childbirth,43,1
Premature_Birth,44,1
Pregnancy,45,1
Hemiparesis,47,1
Hemiplegia,48,1
Neural_Development,49,1
Chronic_heart_failure,50,1
Shock_Cardiogenic,51,1
cardiac_arrhythmia,52,1
Cardioembolic_stroke,53,1
Blood_Pressure,54,1
Brain_Edema,55,1
Brain_hemorrhage,56,1
Cardiac_complication,57,1
Cardiovascular_morbidity,58,1
Cerebral_Edema,59,1
Cerebral_Hemorrhage,60,1
Cerebral_hemisphere_hemorrhage,61,1
Cerebrovascular_Disorders,62,1
Movement,63,1
Dementia_Vascular,64,1
Dissection_of_aorta,65,1
Edema,66,1
Encephalopathies,67,1
Extravasation,68,1
Glomerulosclerosis,69,1
Headache,70,1
Hypertensive_heart_disease_NOS,71,1
Acclimatization,72,1
Pulmonary_arterial_hypertension,73,1
Hypertrophy_Left_Ventricular,74,1
Intracranial_Hemorrhages,75,1
Acidosis,76,1
Necrosis,77,1
