"Node","Type","In_Degree","Out_Degree","Total_Degree"
"Alzheimers","outcome",121,23,144
"Atrial_Fibrillation","exposure",32,21,53
"Disease","regular",2,2,4
"Inflammation","regular",1,2,3
"Amyloid_deposition","regular",1,1,2
"Atrophic","regular",1,1,2
"Cerebral_atrophy","regular",1,1,2
"Cessation_of_life","regular",2,0,2
"Degenerative_abnormality","regular",1,1,2
"Functional_disorder","regular",1,1,2
"Neurodegenerative_Disorders","regular",1,1,2
"Neurofibrillary_Tangles","regular",1,1,2
"Parkinson_Disease","regular",1,1,2
"Symptoms","regular",1,1,2
"Atrial_Remodeling","regular",1,1,2
"Cerebrovascular_accident","regular",1,1,2
"Congestive_heart_failure","regular",1,1,2
"Heart_failure","regular",1,1,2
"Hypertensive_disease","regular",0,2,2
"Ischemia","regular",0,2,2
"Obesity","regular",0,2,2
"Pharmaceutical_Preparations","regular",0,2,2
"Study_models","regular",0,2,2
"Therapeutic_procedure","regular",0,2,2
"APP_gene","regular",0,1,1
"APP_protein_human","regular",0,1,1
"Ablation","regular",0,1,1
"Acetylcholine","regular",0,1,1
"Acetylcholinesterase","regular",0,1,1
"Aconitine","regular",0,1,1
"Adenosine","regular",0,1,1
"Adverse_effects","regular",0,1,1
"Agent","regular",0,1,1
"Aging","regular",1,0,1
"Dementia_Vascular","regular",1,0,1
"Diagnosis","regular",1,0,1
"Disability_NOS","regular",1,0,1
"Evaluation","regular",1,0,1
"Evaluation_procedure","regular",1,0,1
"Lewy_Body_Disease","regular",1,0,1
"Memory_Loss","regular",1,0,1
"Senile_Plaques","regular",1,0,1
"Senile_dementia","regular",1,0,1
"Syndrome","regular",1,0,1
"Amyloid","regular",0,1,1
"Amyloid_Fibrils","regular",0,1,1
"Amyloid_beta","regular",0,1,1
"Amyloid_beta_Peptides","regular",0,1,1
"Amyloid_beta_Protein_Precursor","regular",0,1,1
"Amyloidosis","regular",0,1,1
"Antioxidants","regular",0,1,1
"Apolipoprotein_E4","regular",0,1,1
"Apolipoprotein_E_APOE","regular",0,1,1
"Cardioembolic_stroke","regular",1,0,1
"Cardiomyopathies","regular",1,0,1
"Cardiovascular_morbidity","regular",1,0,1
"Cerebral_Embolism","regular",1,0,1
"Cerebral_Infarction","regular",1,0,1
"Complication","regular",1,0,1
"Embolic_stroke","regular",1,0,1
"Fibrosis","regular",1,0,1
"Functional_mitral_regurgitation","regular",1,0,1
"Hospitalization","regular",1,0,1
"Ischemic_stroke","regular",1,0,1
"Thromboembolism","regular",1,0,1
"Thrombus","regular",1,0,1
"Transient_Ischemic_Attack","regular",1,0,1
"Ventricular_Fibrillation","regular",1,0,1
"Atrial_Premature_Complexes","regular",0,1,1
"Atrial_effective_refractory_period","regular",0,1,1
"Brain_Injuries","regular",0,1,1
"Cardiac_ablation","regular",0,1,1
"Cerebral_Amyloid_Angiopathy","regular",0,1,1
"Cerebrospinal_Fluid","regular",0,1,1
"Cholesterol","regular",0,1,1
"Chronic_inflammation","regular",0,1,1
"Copper","regular",0,1,1
"DNA_Mitochondrial","regular",0,1,1
"Dementia","regular",0,1,1
"Deterioration","regular",0,1,1
"Diabetes","regular",0,1,1
"Diabetes_Mellitus_Non_Insulin_Dependent","regular",0,1,1
"Diet","regular",0,1,1
"Down_Syndrome","regular",0,1,1
"Electric_Countershock","regular",0,1,1
"Endopeptidases","regular",0,1,1
"Enzymes","regular",0,1,1
"FRAGMENTS","regular",0,1,1
"Free_Radicals","regular",0,1,1
"Gene_Mutation","regular",0,1,1
"Genes","regular",0,1,1
"Glycogen_Synthase_Kinase_3","regular",0,1,1
"Glycosylation_End_Products_Advanced","regular",0,1,1
"Heart_Diseases","regular",0,1,1
"Herpesvirus_1_Human","regular",0,1,1
"Hyperthyroidism","regular",0,1,1
"Hypoxia","regular",0,1,1
"IMPACT_gene","regular",0,1,1
"Impaired_cognition","regular",0,1,1
"Induction","regular",0,1,1
"Inflammasomes","regular",0,1,1
"Inflammatory_Response","regular",0,1,1
"Injection","regular",0,1,1
"Injection_procedure","regular",0,1,1
"Injury","regular",0,1,1
"Insulin_Resistance","regular",0,1,1
"Intestinal_Microbiome","regular",0,1,1
"Ions","regular",0,1,1
"Iron","regular",0,1,1
"Isolation_procedure","regular",0,1,1
"Isoproterenol","regular",0,1,1
"Lipids","regular",0,1,1
"Lipopolysaccharides","regular",0,1,1
