"Node","Type","In_Degree","Out_Degree","Total_Degree","Betweenness","Closeness","PageRank","In_Cycle","SCC_ID","SCC_Size","cui","semtype"
"Ablation","regular",0,1,1,0,0.00168350168350168,0.00196473426102146,FALSE,128,1,"C0547070","topp"
"Acetylcholine","regular",0,1,1,0,0.00168350168350168,0.00196473426102146,FALSE,127,1,"C0001041","bacs"
"Acetylcholine","regular",0,1,1,0,0.00168350168350168,0.00196473426102146,FALSE,127,1,"C0001041","phsu"
"Acetylcholine","regular",0,1,1,0,0.00168350168350168,0.00196473426102146,FALSE,127,1,"C0001041","orch"
"Acetylcholine","regular",0,1,1,0,0.00168350168350168,0.00196473426102146,FALSE,127,1,"C0001041","nsba"
"Acetylcholinesterase","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,126,1,"C0001044","aapp"
"Acetylcholinesterase","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,126,1,"C0001044","enzy"
"Acetylcholinesterase","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,126,1,"C0001044","gngm"
"Aconitine","regular",0,1,1,0,0.00168350168350168,0.00196473426102146,FALSE,125,1,"C0001159","orch"
"Aconitine","regular",0,1,1,0,0.00168350168350168,0.00196473426102146,FALSE,125,1,"C0001159","phsu"
"Adenosine","regular",0,1,1,0,0.00168350168350168,0.00196473426102146,FALSE,124,1,"C0001443","bacs"
"Adenosine","regular",0,1,1,0,0.00168350168350168,0.00196473426102146,FALSE,124,1,"C0001443","nnon"
"Adenosine","regular",0,1,1,0,0.00168350168350168,0.00196473426102146,FALSE,124,1,"C0001443","phsu"
"Adverse_effects","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,123,1,"C0879626","patf"
"Agent","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,122,1,"C0450442","chvf"
"Aging","regular",1,0,1,0,0.00235849056603774,0.0126623070129659,FALSE,158,1,"C0001811","orgf"
"aluminum","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,22,1,"C0002367","elii"
"aluminum","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,22,1,"C0002367","phsu"
"aluminum_chloride","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,21,1,"C0102840","inch"
"aluminum_chloride","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,21,1,"C0102840","phsu"
"Alzheimers","outcome",121,23,144,5549.5,0.00396825396825397,0.289463733287908,TRUE,131,17,NA,NA
"Amyloid","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,121,1,"C0002716","aapp"
"Amyloid","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,121,1,"C0002716","gngm"
"Amyloid","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,121,1,"C0002716","bacs"
"Amyloid_beta","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,119,1,"C3484390","gngm"
"Amyloid_beta","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,119,1,"C3484390","aapp"
"Amyloid_beta_Peptides","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,118,1,"C0078939","gngm"
"Amyloid_beta_Peptides","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,118,1,"C0078939","aapp"
"Amyloid_beta_Protein_Precursor","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,117,1,"C0085151","aapp"
"Amyloid_beta_Protein_Precursor","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,117,1,"C0085151","bacs"
"Amyloid_beta_Protein_Precursor","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,117,1,"C0085151","gngm"
"Amyloid_deposition","regular",1,1,2,0,0.00235849056603774,0.0126623070129636,TRUE,131,17,"C0011560","patf"
"Amyloid_Fibrils","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,120,1,"C1449651","gngm"
"Amyloid_Fibrils","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,120,1,"C1449651","bacs"
"Amyloid_Fibrils","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,120,1,"C1449651","aapp"
"Amyloidosis","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,116,1,"C0002726","dsyn"
"angiotensin_II","regular",0,1,1,0,0.00168350168350168,0.00196473426102146,FALSE,20,1,"C0003009","aapp"
"angiotensin_II","regular",0,1,1,0,0.00168350168350168,0.00196473426102146,FALSE,20,1,"C0003009","phsu"
"angiotensin_II","regular",0,1,1,0,0.00168350168350168,0.00196473426102146,FALSE,20,1,"C0003009","gngm"
"angiotensin_II","regular",0,1,1,0,0.00168350168350168,0.00196473426102146,FALSE,20,1,"C0003009","bacs"
"Antioxidants","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,115,1,"C0003402","phsu"
"apolipoprotein_E_4_APOE","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,19,1,NA,NA
"Apolipoprotein_E_APOE","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,113,1,NA,NA
"Apolipoprotein_E4","regular",0,1,1,0,0.00235849056603774,0.00196473426102146,FALSE,114,1,NA,NA
