"semtype","Total_Nodes","Nodes_In_Cycles","Nodes_Not_In_Cycles","Cycle_Participation_Rate","Mean_Degree","Mean_Betweenness"
"acab",2,1,1,50,1.5,0
"sosy",3,1,2,33.33,1.33,0
"patf",20,6,14,30,3.95,224.68
"dsyn",38,8,30,21.05,2.68,132.72
"aapp",27,0,27,0,1,0
"antb",1,0,1,0,1,0
"bacs",22,0,22,0,1,0
"bdsu",2,0,2,0,1,0
"bodm",1,0,1,0,1,0
"carb",2,0,2,0,1,0
"cgab",1,0,1,0,1,0
"chvf",1,0,1,0,1,0
"chvs",1,0,1,0,1,0
"comd",3,0,3,0,1,0
"diap",1,0,1,0,1,0
"elii",6,0,6,0,1,0
"enzy",5,0,5,0,1,0
"fndg",4,0,4,0,1,0
"food",1,0,1,0,1,0
"genf",2,0,2,0,1,0
"gngm",27,0,27,0,1,0
"hlca",3,0,3,0,1,0
"hops",2,0,2,0,1,0
"imft",2,0,2,0,1,0
"inch",4,0,4,0,1,0
"inpo",4,0,4,0,1,0
"inpr",1,0,1,0,2,0
"irda",1,0,1,0,1,0
"lipd",2,0,2,0,1,0
"mobd",4,0,4,0,1,0
"moft",1,0,1,0,1,0
"nnon",3,0,3,0,1,0
"nsba",1,0,1,0,1,0
"nusq",1,0,1,0,1,0
"orch",12,0,12,0,1,0
"orgf",2,0,2,0,1.5,0
"orgm",1,0,1,0,1,0
"phpr",3,0,3,0,1,0
"phsu",16,0,16,0,1.06,0
"rcpt",3,0,3,0,1,0
"resd",1,0,1,0,2,0
"sbst",2,0,2,0,1,0
"strd",1,0,1,0,1,0
"topp",9,0,9,0,1.11,0
"virs",2,0,2,0,1,0
