"semtype","Total_Nodes","Nodes_In_Cycles","Nodes_Not_In_Cycles","Cycle_Participation_Rate","Mean_Degree","Mean_Betweenness"
"acab",2,1,1,50,1.5,0
"patf",53,16,37,30.19,1.53,45.89
"sosy",7,2,5,28.57,1.71,173.74
"dsyn",92,25,67,27.17,1.36,26.44
"aapp",50,0,50,0,1.08,0
"anab",2,0,2,0,1,0
"antb",1,0,1,0,2,0
"bacs",36,0,36,0,1.11,0
"bdsu",3,0,3,0,1,0
"bodm",1,0,1,0,1,0
"carb",5,0,5,0,1.2,0
"cgab",3,0,3,0,1,0
"chvf",2,0,2,0,1.5,0
"chvs",2,0,2,0,1,0
"clnd",1,0,1,0,1,0
"comd",3,0,3,0,1.33,0
"diap",2,0,2,0,1.5,0
"eico",2,0,2,0,1,0
"elii",12,0,12,0,1.08,0
"enzy",9,0,9,0,1,0
"fndg",3,0,3,0,1,0
"food",2,0,2,0,1.5,0
"genf",2,0,2,0,1.5,0
"gngm",50,0,50,0,1.08,0
"hlca",4,0,4,0,1.25,0
"hops",5,0,5,0,1,0
"horm",21,0,21,0,1,0
"imft",5,0,5,0,1,0
"inch",8,0,8,0,1.12,0
"inpo",5,0,5,0,1.4,0
"inpr",1,0,1,0,2,0
"irda",1,0,1,0,1,0
"lipd",2,0,2,0,1.5,0
"medd",2,0,2,0,1,0
"mobd",5,0,5,0,1,0
"moft",1,0,1,0,1,0
"neop",7,0,7,0,1,0
"nnon",2,0,2,0,1.5,0
"nsba",6,0,6,0,1,0
"nusq",1,0,1,0,1,0
"orch",41,0,41,0,1.07,0
"orgf",6,0,6,0,1.17,0
"orgm",1,0,1,0,2,0
"phpr",5,0,5,0,1.2,0
"phsu",66,0,66,0,1.05,0
"rcpt",6,0,6,0,1.17,0
"resd",1,0,1,0,2,0
"sbst",5,0,5,0,1,0
"strd",15,0,15,0,1,0
"topp",23,0,23,0,1.09,0
"virs",2,0,2,0,1,0
