"Node","SCC_ID","SCC_Size"
"Depression",277,44
"Alzheimers",277,44
"Abnormal_renal_function",277,44
"Adverse_effects",277,44
"Amyloid_deposition",277,44
"Atrophic",277,44
"Cerebral_atrophy",277,44
"Degenerative_abnormality",277,44
"Disease",277,44
"Functional_disorder",277,44
"Inflammation",277,44
"Neurodegenerative_Disorders",277,44
"Neurofibrillary_Tangles",277,44
"Parkinson_Disease",277,44
"Symptoms",277,44
"Syndrome",277,44
"Atherosclerosis",277,44
"Cardiovascular_Diseases",277,44
"Cerebrovascular_accident",277,44
"Chronic_Kidney_Diseases",277,44
"Complication",277,44
"Contraction",277,44
"Diabetes",277,44
"Diabetes_Mellitus",277,44
"Diabetes_Mellitus_Non_Insulin_Dependent",277,44
"Diabetic_Nephropathy",277,44
"Endothelial_dysfunction",277,44
"Essential_Hypertension",277,44
"Fetal_Growth_Retardation",277,44
"Fibrosis",277,44
"Heart_failure",277,44
"Hypertrophy",277,44
"Hypoxia",277,44
"Insulin_Resistance",277,44
"Ischemia",277,44
"Kidney_Diseases",277,44
"Kidney_Failure",277,44
"Kidney_Failure_Chronic",277,44
"Obesity",277,44
"Pathogenesis",277,44
"Pre_Eclampsia",277,44
"Renal_Insufficiency",277,44
"Stiffness",277,44
"Vascular_Diseases",277,44
"vascular_factor",1,1
"tau_Proteins_MAPT",2,1
"tau_Proteins",3,1
"sorafenib",4,1
"scopolamine",5,1
"receptor",6,1
"presenilin_1_PSEN1",7,1
"presenilin_1",8,1
"presenilin",9,1
"neuronal",10,1
"neuron_loss",11,1
"inhibitors",12,1
"imbalance",13,1
"hydrochloride",14,1
"homocysteine",15,1
"gene_therapy",16,1
"gamma_secretase",17,1
"galactose",18,1
"fructose",19,1
"desoxycorticosterone_acetate",20,1
"cytokine",21,1
"bevacizumab",22,1
"beta_site_APP_cleaving_enzyme_1_BACE1",23,1
"arginine_methyl_ester",24,1
"apolipoprotein_E_4_APOE",25,1
"aorta_constriction",26,1
"angiotensin_II",27,1
"aluminum_chloride",28,1
"aluminum",29,1
"alanosine",30,1
"agonists",31,1
"adenoma",32,1
"Zinc",33,1
"Wounds_and_Injuries",34,1
"Water",35,1
"Vitamin_D_Deficiency",36,1
"Virus",37,1
"Vasospasm",38,1
"Vasodilation_disorder",39,1
"Vasoconstrictor_Agents",40,1
"Uric_Acid",41,1
"Unilateral_renal_artery_stenosis",42,1
"Unilateral_nephrectomy",43,1
"Traumatic_Brain_Injury",44,1
"Transplantation",45,1
"Toxic_effect",46,1
"Tourniquets",47,1
"Thrombosis",48,1
"Therapeutic_procedure",49,1
"Testosterone",50,1
"Takayasu_s_Arteritis",51,1
"Tacrolimus",52,1
"TNF_protein_human_TNF",53,1
"Superoxides",54,1
"Sugars",55,1
"Substance",56,1
"Study_models",57,1
"Streptozocin",58,1
