"Node","Type","In_Degree","Out_Degree","Total_Degree","Betweenness","Closeness","PageRank","In_Cycle","SCC_ID","SCC_Size"
"Hypertension","exposure",237,98,335,32966.5,0.00210526315789474,0.228256072501818,TRUE,277,44
"Alzheimers","outcome",121,23,144,12569.5,0.0015552099533437,0.124959098031649,TRUE,277,44
"Degenerative_abnormality","regular",1,2,3,1216.16666666667,0.00129198966408269,0.00551865234789726,TRUE,277,44
"Disease","regular",2,2,4,1216.16666666667,0.00129198966408269,0.00749842440530796,TRUE,277,44
"Functional_disorder","regular",2,2,4,1216.16666666667,0.00129198966408269,0.00749842440530796,TRUE,277,44
"Inflammation","regular",2,2,4,1216.16666666667,0.00129198966408269,0.00749842440530796,TRUE,277,44
"Symptoms","regular",2,2,4,1216.16666666667,0.00129198966408269,0.00749842440530796,TRUE,277,44
"Syndrome","regular",2,1,3,1216.16666666667,0.00129198966408269,0.00749842440530796,TRUE,277,44
"20_hydroxy_5_8_11_14_eicosatetraenoic_acid","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,276,1
"APP_gene","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,275,1
"APP_protein_human","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,274,1
"ATM_gene_ATM","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,273,1
"Abnormal_renal_function","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Acetate","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,272,1
"Acetylcholinesterase","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,271,1
"Administration_Oral","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,270,1
"Adrenal_Cortex_Hormones","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,269,1
"Adrenal_Gland_Neoplasms","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,268,1
"Adrenergic_Receptor","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,267,1
"Adverse_effects","regular",1,2,3,0,0.00129198966408269,0.00288037078240171,TRUE,277,44
"Agent","regular",0,2,2,0,0.00129198966408269,0.000900598724988489,FALSE,266,1
"Aldosterone","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,265,1
"Aging","regular",1,0,1,0,0.000970873786407767,0.00551865234789726,FALSE,346,1
"Amyloid_deposition","regular",1,1,2,0,0.000970873786407767,0.00551865234789473,TRUE,277,44
"Atrophic","regular",1,1,2,0,0.000970873786407767,0.00551865234789473,TRUE,277,44
"Cerebral_atrophy","regular",1,1,2,0,0.000970873786407767,0.00551865234789473,TRUE,277,44
"Cessation_of_life","regular",2,0,2,0,0.00129198966408269,0.00749842440531098,FALSE,345,1
"Dementia_Vascular","regular",2,0,2,0,0.00129198966408269,0.00749842440531098,FALSE,344,1
"Diagnosis","regular",2,0,2,0,0.00129198966408269,0.00749842440531098,FALSE,343,1
"Disability_NOS","regular",2,0,2,0,0.00129198966408269,0.00749842440531098,FALSE,342,1
"Evaluation","regular",1,0,1,0,0.000970873786407767,0.00551865234789726,FALSE,341,1
"Evaluation_procedure","regular",1,0,1,0,0.000970873786407767,0.00551865234789726,FALSE,340,1
"Lewy_Body_Disease","regular",1,0,1,0,0.000970873786407767,0.00551865234789726,FALSE,339,1
"Memory_Loss","regular",1,0,1,0,0.000970873786407767,0.00551865234789726,FALSE,338,1
"Neurodegenerative_Disorders","regular",1,1,2,0,0.000970873786407767,0.00551865234789473,TRUE,277,44
"Neurofibrillary_Tangles","regular",1,1,2,0,0.000970873786407767,0.00551865234789473,TRUE,277,44
"Parkinson_Disease","regular",1,1,2,0,0.000970873786407767,0.00551865234789473,TRUE,277,44
"Senile_Plaques","regular",1,0,1,0,0.000970873786407767,0.00551865234789726,FALSE,337,1
"Senile_dementia","regular",1,0,1,0,0.000970873786407767,0.00551865234789726,FALSE,336,1
"Amyloid","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,264,1
"Amyloid_Fibrils","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,263,1
"Amyloid_beta","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,262,1
"Amyloid_beta_Peptides","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,261,1
"Amyloid_beta_Protein_Precursor","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,260,1
"Amyloidosis","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,259,1
"Androgens","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,258,1
"Angiogenesis_Inhibitors","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,257,1
"Angiotensin_II_ANG","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,256,1
"Angiotensins","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,255,1
"Antihypertensive_Agents","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,254,1
"Antioxidants","regular",0,2,2,0,0.00129198966408269,0.000900598724988489,FALSE,253,1
"Aortic_coarctation","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,252,1
"Apolipoprotein_E4","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,251,1
"Apolipoprotein_E_APOE","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,250,1
"Arginine","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,249,1
"Argipressin","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,248,1
"Argipressin_AVP","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,247,1
"Atherosclerosis","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Atherosclerotic_renal_artery_stenosis","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,246,1
"Autonomic_Dysreflexia","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,245,1
"Banding_procedure","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,244,1
"Bilateral_renal_artery_stenosis","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,243,1
"Blood_Pressure_Monitoring_Ambulatory","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,242,1
"Brain_Injuries","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,241,1
"COVID_19","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,240,1
"Cadmium","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,239,1
"Calcineurin_inhibitor","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,238,1
"Calcium","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,237,1
"Candidate_Disease_Gene","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,236,1
