"Node","Type","In_Degree","Out_Degree","Total_Degree"
"Hypertension","exposure",237,98,335
"Alzheimers","outcome",121,23,144
"Disease","regular",2,2,4
"Functional_disorder","regular",2,2,4
"Inflammation","regular",2,2,4
"Symptoms","regular",2,2,4
"Adverse_effects","regular",1,2,3
"Degenerative_abnormality","regular",1,2,3
"Syndrome","regular",2,1,3
"Diabetes","regular",1,2,3
"Hypoxia","regular",1,2,3
"Insulin_Resistance","regular",1,2,3
"Ischemia","regular",1,2,3
"Obesity","regular",1,2,3
"Pathogenesis","regular",1,2,3
"Vascular_Diseases","regular",1,2,3
"Abnormal_renal_function","regular",1,1,2
"Agent","regular",0,2,2
"Amyloid_deposition","regular",1,1,2
"Atrophic","regular",1,1,2
"Cerebral_atrophy","regular",1,1,2
"Cessation_of_life","regular",2,0,2
"Dementia_Vascular","regular",2,0,2
"Diagnosis","regular",2,0,2
"Disability_NOS","regular",2,0,2
"Neurodegenerative_Disorders","regular",1,1,2
"Neurofibrillary_Tangles","regular",1,1,2
"Parkinson_Disease","regular",1,1,2
"Antioxidants","regular",0,2,2
"Atherosclerosis","regular",1,1,2
"Cardiovascular_Diseases","regular",1,1,2
"Cerebrovascular_accident","regular",1,1,2
"Chronic_Kidney_Diseases","regular",1,1,2
"Chronic_inflammation","regular",0,2,2
"Complication","regular",1,1,2
"Contraction","regular",1,1,2
"Diabetes_Mellitus","regular",1,1,2
"Diabetes_Mellitus_Non_Insulin_Dependent","regular",1,1,2
"Diabetic_Nephropathy","regular",1,1,2
"Diet","regular",0,2,2
"Endothelial_dysfunction","regular",1,1,2
"Essential_Hypertension","regular",1,1,2
"Fetal_Growth_Retardation","regular",1,1,2
"Fibrosis","regular",1,1,2
"Genes","regular",0,2,2
"Heart_failure","regular",1,1,2
"Hypertrophy","regular",1,1,2
"Kidney_Diseases","regular",1,1,2
"Kidney_Failure","regular",1,1,2
"Kidney_Failure_Chronic","regular",1,1,2
"Pre_Eclampsia","regular",1,1,2
"Renal_Insufficiency","regular",1,1,2
"Stiffness","regular",1,1,2
"IMPACT_gene","regular",0,2,2
"Inflammatory_Response","regular",0,2,2
"Injection_procedure","regular",0,2,2
"Injury","regular",0,2,2
"Intestinal_Microbiome","regular",0,2,2
"Lipopolysaccharides","regular",0,2,2
"MicroRNAs","regular",0,2,2
"Mutation","regular",0,2,2
"Nitric_Oxide","regular",0,2,2
"Oxidative_Stress","regular",0,2,2
"Pharmaceutical_Preparations","regular",0,2,2
"Polymorphism_Genetic","regular",0,2,2
"Process","regular",0,2,2
"Proteins","regular",0,2,2
"Reactive_Oxygen_Species","regular",0,2,2
