"node","in_degree","out_degree","total_degree","betweenness"
"1_4_dioxin",0,6,6,0
"Adverse_effects",200,10,210,34912.1064188873
"Atrophic",37,2,39,2070.92775459062
"Congenital_Abnormality",25,32,57,5140.79432020724
"Hydronephrosis",12,1,13,2526.60623440781
"Oxidative_Stress",249,57,306,50116.4173673082
"Toxic_effect",325,32,357,74476.5414348624
"1_Methyl_4_phenyl_1_2_3_6_tetrahydropyridine",0,8,8,0
"Degenerative_abnormality",76,19,95,17104.7635156747
"Injury",248,135,383,75496.9610399011
"Nerve_Degeneration",56,5,61,2956.25521603892
"Parkinson_Disease",56,15,71,17229.225574385
"Symptoms",164,43,207,49657.6208273185
"Syndrome",141,45,186,41981.5093183352
"1_Methyl_4_phenylpyridinium",0,5,5,0
"1_Naphthylisothiocyanate",0,1,1,0
"2019_novel_coronavirus",0,8,8,0
"COVID_19",28,92,120,77988.5476602113
"Complication",305,36,341,86483.3715406839
"Disease",974,340,1314,927149.701237338
"Endothelial_dysfunction",61,18,79,5870.57298974812
"Inflammation",392,102,494,142985.370059658
"Inflammatory_Response",119,19,138,9398.23567911751
"Kidney_Failure_Acute",74,2,76,8103.65409647622
"20_hydroxy_5_8_11_14_eicosatetraenoic_acid",0,1,1,0
"Hypertension",231,98,329,184865.306148301
"21_hydroxylase_deficiency",1,2,3,5.63025210084034
"Diagnosis",37,4,41,8963.59573521786
"Hyperplasia",27,8,35,12580.1700211983
"2_2_azobis_2_amidinopropane",0,1,1,0
"2_Acetylaminofluorene",0,1,1,0
"Neoplasm",137,55,192,42625.5927516214
"2_amino_1_methyl_6_phenylimidazo_4_5_b_pyridine",0,1,1,0
"3MC",0,1,1,0
"3_4_Methylenedioxyamphetamine",0,1,1,0
"3_nitropropionic_acid",0,3,3,0
"Functional_disorder",199,59,258,47294.3816610369
"4_Nitroquinoline_1_oxide",0,1,1,0
"4_hydroxy_2_nonenal",0,1,1,0
"8_Hydroxy_2_di_n_propylamino_tetralin",0,1,1,0
"9_10_Dimethyl_1_2_benzanthracene",0,2,2,0
"ABCC8",0,1,1,0
"Diabetes",65,73,138,36139.2225046957
"ACTH_Syndrome_Ectopic",0,1,1,0
"Cushing_Syndrome",27,1,28,7932.03898637339
"ADAMTS",0,1,1,0
"Purpura_Thrombotic_Thrombocytopenic",9,3,12,1330.21116382139
"ADAMTS13",0,1,1,0
"AES",0,1,1,0
"Cessation_of_life",521,0,521,0
"AIDS_Associated_Nephropathy",0,1,1,0
"End_stage_renal_failure",37,2,39,2666.29495018304
"AMACR_wt_Allele",0,1,1,0
"AOD_use",0,1,1,0
"APP_gene",0,24,24,0
"Alzheimers",118,23,141,33047.228399324
"Apoptosis",68,0,68,0
"COGNITIVE_DEFICIT",6,0,6,0
"Cell_Death",33,0,33,0
"Chromosome_Pairing",5,0,5,0
"Cytokinesis_of_the_fertilized_ovum",10,0,10,0
"Death_finding",4,1,5,0.476556776556777
"Impaired_cognition",27,2,29,60.6721691563413
"Memory_impairment",25,1,26,655.543490175975
"Paralysed",3,0,3,0
"Stress",31,18,49,610.963704402144
"cell_injury",22,1,23,38.6646798758944
"cytotoxicity",33,1,34,258.202468751466
"neuron_loss",5,1,6,4.76578391175217
"APP_protein_human",0,14,14,0
"ASPERGILLOSIS_INVASIVE",0,1,1,0
"ATM_gene_ATM",0,3,3,0
"Ataxia_Telangiectasia",3,0,3,0
"ATP8A2",0,1,1,0
"Contraction",179,8,187,63779.1948930215
"ATPase_Aminophospholipid_Transporter_Like_Class_I_Type_8A_Member_2_ATP8A2",0,3,3,0
"A_23187",0,1,1,0
"Abdominal_Pain",1,1,2,0
"Ablation",0,10,10,0
"Atrial_Fibrillation",19,12,31,11651.3592717196
"Fibrosis",117,16,133,26285.9027910041
"Hypertrophy",69,7,76,8037.18915848475
"Obesity",72,60,132,44432.8247042758
"Obstruction",87,79,166,92037.1948220247
"Abnormal_renal_function",15,1,16,264.200189789213
"Abnormality_of_mitochondrial_metabolism",4,1,5,0
"Abortion_Induced",0,1,1,0
"Abruptio_Placentae",0,1,1,0
"Pregnancy",31,0,31,0
"Abscess",5,1,6,0.0703955632527061
"Abuse",1,1,2,0
"Acanthamoeba",0,1,1,0
"Accidents",0,1,1,0
"Accumulation",14,7,21,25.9277730091546
"Chronic_inflammation",32,18,50,1395.502075697
"Edema",75,6,81,10731.3142063912
"Insulin_Resistance",74,23,97,17840.6287117764
"Acetaldehyde",0,1,1,0
"Acetaminophen",0,5,5,0
"Acetate",0,3,3,0
"Hypertensive",6,0,6,0
"Acetic_Acid",0,4,4,0
"Acetylcholine",0,6,6,0
"Pathological_Dilatation",23,8,31,8778.5796316198
"Vasodilation_disorder",9,1,10,441.116977735748
"Vasospasm",14,12,26,3010.40173155769
"Acetylcholinesterase",0,1,1,0
"Acetylmuramyl_Alanyl_Isoglutamine",0,1,1,0
"Acidosis",3,1,4,0.0319660014781966
