"node","in_degree","out_degree","total_degree","betweenness","is_exposure","is_outcome","in_scc"
"1_4_dioxin",0,5,5,0,FALSE,FALSE,FALSE
"Atrophic",34,1,35,0.000105562453333671,FALSE,FALSE,TRUE
"Congenital_Abnormality",20,30,50,0.000308615793439961,FALSE,FALSE,FALSE
"Hydronephrosis",11,1,12,0.00018799606759045,FALSE,FALSE,TRUE
"Oxidative_Stress",243,55,298,0.00357746529698898,FALSE,FALSE,FALSE
"Toxic_effect",319,26,345,0.0054543953342784,FALSE,FALSE,FALSE
"1_Methyl_4_phenyl_1_2_3_6_tetrahydropyridine",0,5,5,0,FALSE,FALSE,FALSE
"Degenerative_abnormality",68,17,85,0.00165774516830104,FALSE,FALSE,TRUE
"Nerve_Degeneration",51,4,55,0.000129518484943801,FALSE,FALSE,FALSE
"Parkinson_Disease",46,11,57,0.00107076585486925,FALSE,FALSE,TRUE
"1_Methyl_4_phenylpyridinium",0,4,4,0,FALSE,FALSE,FALSE
"1_Naphthylisothiocyanate",0,0,0,0,FALSE,FALSE,FALSE
"2019_novel_coronavirus",0,5,5,0,FALSE,FALSE,FALSE
"COVID_19",25,86,111,0.00627076053988708,FALSE,FALSE,TRUE
"Endothelial_dysfunction",58,15,73,0.000791744815712277,FALSE,FALSE,TRUE
"Inflammation",381,99,480,0.0187787177783575,FALSE,FALSE,TRUE
"Inflammatory_Response",112,17,129,0.00156788307853359,FALSE,FALSE,TRUE
"Kidney_Failure_Acute",67,2,69,0.000691455030312271,FALSE,FALSE,TRUE
"20_hydroxy_5_8_11_14_eicosatetraenoic_acid",0,1,1,0,FALSE,FALSE,FALSE
"Hypertension",217,90,307,0.0179688401074851,TRUE,FALSE,TRUE
"21_hydroxylase_deficiency",1,1,2,7.30436666731489e-07,FALSE,FALSE,FALSE
"Hyperplasia",25,6,31,0.000732165346964385,FALSE,FALSE,TRUE
"2_2_azobis_2_amidinopropane",0,1,1,0,FALSE,FALSE,FALSE
"2_Acetylaminofluorene",0,1,1,0,FALSE,FALSE,FALSE
"Neoplasm",131,53,184,0.00295272408132955,FALSE,FALSE,TRUE
"2_amino_1_methyl_6_phenylimidazo_4_5_b_pyridine",0,1,1,0,FALSE,FALSE,FALSE
"3MC",0,1,1,0,FALSE,FALSE,FALSE
"3_4_Methylenedioxyamphetamine",0,1,1,0,FALSE,FALSE,FALSE
"3_nitropropionic_acid",0,2,2,0,FALSE,FALSE,FALSE
"4_Nitroquinoline_1_oxide",0,1,1,0,FALSE,FALSE,FALSE
"4_hydroxy_2_nonenal",0,1,1,0,FALSE,FALSE,FALSE
"8_Hydroxy_2_di_n_propylamino_tetralin",0,0,0,0,FALSE,FALSE,FALSE
"9_10_Dimethyl_1_2_benzanthracene",0,2,2,0,FALSE,FALSE,FALSE
"ABCC8",0,1,1,0,FALSE,FALSE,FALSE
"Diabetes",54,66,120,0.00316034495557237,FALSE,FALSE,TRUE
"ACTH_Syndrome_Ectopic",0,1,1,0,FALSE,FALSE,FALSE
"Cushing_Syndrome",27,1,28,0.000465571609861649,FALSE,FALSE,TRUE
"ADAMTS",0,1,1,0,FALSE,FALSE,FALSE
"Purpura_Thrombotic_Thrombocytopenic",7,3,10,0.000133802707984543,FALSE,FALSE,TRUE
"ADAMTS13",0,1,1,0,FALSE,FALSE,FALSE
"AES",0,1,1,0,FALSE,FALSE,FALSE
"Cessation_of_life",510,0,510,0,FALSE,FALSE,FALSE
"AIDS_Associated_Nephropathy",0,1,1,0,FALSE,FALSE,FALSE
"End_stage_renal_failure",33,2,35,0.00015123702058233,FALSE,FALSE,TRUE
"AMACR_wt_Allele",0,1,1,0,FALSE,FALSE,FALSE
"AOD_use",0,0,0,0,FALSE,FALSE,FALSE
"APP_gene",0,21,21,0,FALSE,FALSE,FALSE
"Alzheimers",105,18,123,0.00323006408649403,FALSE,TRUE,TRUE
"Apoptosis",65,0,65,0,FALSE,FALSE,FALSE
"COGNITIVE_DEFICIT",5,0,5,0,FALSE,FALSE,FALSE
"Cell_Death",30,0,30,0,FALSE,FALSE,FALSE
"Chromosome_Pairing",5,0,5,0,FALSE,FALSE,FALSE
"Cytokinesis_of_the_fertilized_ovum",8,0,8,0,FALSE,FALSE,FALSE
"Death_finding",3,1,4,4.69022807906707e-08,FALSE,FALSE,FALSE
"Impaired_cognition",26,2,28,5.30138747134845e-05,FALSE,FALSE,FALSE
"Memory_impairment",23,1,24,9.61294480243446e-05,FALSE,FALSE,FALSE
"Paralysed",3,0,3,0,FALSE,FALSE,FALSE
"Stress",27,14,41,5.92775760908665e-05,FALSE,FALSE,FALSE
"cell_injury",18,0,18,0,FALSE,FALSE,FALSE
"cytotoxicity",29,0,29,0,FALSE,FALSE,FALSE
"neuron_loss",5,1,6,6.34091632145786e-07,FALSE,FALSE,FALSE
"APP_protein_human",0,12,12,0,FALSE,FALSE,FALSE
"ASPERGILLOSIS_INVASIVE",0,1,1,0,FALSE,FALSE,FALSE
"ATM_gene_ATM",0,3,3,0,FALSE,FALSE,FALSE
"Ataxia_Telangiectasia",2,0,2,0,FALSE,FALSE,FALSE
"ATP8A2",0,1,1,0,FALSE,FALSE,FALSE
"Contraction",174,7,181,0.00343321958739045,FALSE,FALSE,TRUE
"ATPase_Aminophospholipid_Transporter_Like_Class_I_Type_8A_Member_2_ATP8A2",0,2,2,0,FALSE,FALSE,FALSE
"A_23187",0,1,1,0,FALSE,FALSE,FALSE
"Abdominal_Pain",0,0,0,0,FALSE,FALSE,FALSE
