"node","in_degree","out_degree","total_degree","betweenness","is_exposure","is_outcome","in_scc"
"Cessation_of_life",510,0,510,0,FALSE,FALSE,FALSE
"Inflammation",381,99,480,0.0187787177783575,FALSE,FALSE,TRUE
"Mutation",2,412,414,8.91123685026876e-05,FALSE,FALSE,FALSE
"Toxic_effect",319,26,345,0.0054543953342784,FALSE,FALSE,FALSE
"Hypertension",217,90,307,0.0179688401074851,TRUE,FALSE,TRUE
"Oxidative_Stress",243,55,298,0.00357746529698898,FALSE,FALSE,FALSE
"Neoplasm",131,53,184,0.00295272408132955,FALSE,FALSE,TRUE
"Contraction",174,7,181,0.00343321958739045,FALSE,FALSE,TRUE
"Lipopolysaccharides",0,173,173,0,FALSE,FALSE,FALSE
"Ischemia",73,69,142,0.00614045457687359,FALSE,FALSE,TRUE
"Inflammatory_Response",112,17,129,0.00156788307853359,FALSE,FALSE,TRUE
"Heart_failure",99,26,125,0.00389674699630832,FALSE,FALSE,TRUE
"Alzheimers",105,18,123,0.00323006408649403,FALSE,TRUE,TRUE
"Fibrosis",109,14,123,0.00209414765859465,FALSE,FALSE,TRUE
"Ethanol",0,123,123,0,FALSE,FALSE,FALSE
"Diabetes",54,66,120,0.00316034495557237,FALSE,FALSE,TRUE
"Obesity",63,54,117,0.00345714347919368,FALSE,FALSE,TRUE
"COVID_19",25,86,111,0.00627076053988708,FALSE,FALSE,TRUE
"Cerebrovascular_accident",75,32,107,0.00395648831906781,FALSE,FALSE,TRUE
"Diet",0,95,95,0,FALSE,FALSE,FALSE
