"node","in_degree","out_degree","total_degree","betweenness","is_generic"
"Disease",974,340,1314,927149.701237338,TRUE
"Hypertension",231,98,329,184865.306148301,FALSE
"Inflammation",392,102,494,142985.370059658,FALSE
"Obstruction",87,79,166,92037.1948220247,TRUE
"Complication",305,36,341,86483.3715406839,TRUE
"Ischemia",83,76,159,79643.0162036512,FALSE
"COVID_19",28,92,120,77988.5476602113,FALSE
"Injury",248,135,383,75496.9610399011,TRUE
"Toxic_effect",325,32,357,74476.5414348624,FALSE
"Contraction",179,8,187,63779.1948930215,FALSE
"Heart_failure",109,30,139,54437.2099823412,FALSE
"Oxidative_Stress",249,57,306,50116.4173673082,FALSE
"Symptoms",164,43,207,49657.6208273185,TRUE
"Functional_disorder",199,59,258,47294.3816610369,TRUE
"Obesity",72,60,132,44432.8247042758,FALSE
"Cerebrovascular_accident",83,37,120,43915.0988427633,FALSE
"Neoplasm",137,55,192,42625.5927516214,FALSE
"Syndrome",141,45,186,41981.5093183352,TRUE
"Diabetes",65,73,138,36139.2225046957,FALSE
"Adverse_effects",200,10,210,34912.1064188873,TRUE
"Alzheimers",118,23,141,33047.228399324,FALSE
"Myocardial_Infarction",55,39,94,31129.0672171249,FALSE
"Fibrosis",117,16,133,26285.9027910041,FALSE
"Infection",32,37,69,23602.5152515902,FALSE
"Kidney_Failure_Chronic",35,16,51,23539.690338647,FALSE
"Hypoxia",45,31,76,22936.503143657,FALSE
"Atherosclerosis",54,35,89,21541.5462842445,FALSE
"Disability_NOS",95,2,97,20341.8479182176,FALSE
"Hyperglycemia",38,31,69,20003.4476518818,FALSE
"Thrombosis",48,24,72,19026.7174499272,FALSE
"Insulin_Resistance",74,23,97,17840.6287117764,FALSE
"Parkinson_Disease",56,15,71,17229.225574385,FALSE
"Degenerative_abnormality",76,19,95,17104.7635156747,FALSE
"Malnutrition",21,19,40,15321.2162131959,FALSE
"Hypertension_Pulmonary",50,5,55,13653.8720242706,FALSE
"Sleep_Apnea_Obstructive",10,16,26,12798.5618641476,FALSE
"Hyperplasia",27,8,35,12580.1700211983,FALSE
"Atrial_Fibrillation",19,12,31,11651.3592717196,FALSE
"Cardiomyopathies",53,12,65,10780.6734449046,FALSE
"Edema",75,6,81,10731.3142063912,FALSE
"Inflammatory_Response",119,19,138,9398.23567911751,FALSE
"Hypercalcemia",28,7,35,9262.1299809462,FALSE
"Diagnosis",37,4,41,8963.59573521786,TRUE
"Pathological_Dilatation",23,8,31,8778.5796316198,FALSE
"Chronic_Kidney_Diseases",15,5,20,8775.69191034487,FALSE
"Kidney_Failure",61,3,64,8105.73700503123,FALSE
"Kidney_Failure_Acute",74,2,76,8103.65409647622,FALSE
"Hypertrophy",69,7,76,8037.18915848475,FALSE
"Extravasation",43,10,53,8033.77806319515,FALSE
"Cushing_Syndrome",27,1,28,7932.03898637339,FALSE
"Anemia",25,7,32,7648.46759615261,FALSE
"Infarction",29,9,38,6442.91343722416,FALSE
"Diabetes_Mellitus",24,28,52,6193.25960311582,FALSE
"Stenosis_unspecified",7,14,21,6111.78207744833,FALSE
"cardiac_arrhythmia",51,8,59,6025.09524699428,FALSE
"Kidney_Diseases",37,16,53,5984.59212014742,FALSE
"Endothelial_dysfunction",61,18,79,5870.57298974812,FALSE
"Thrombus",6,14,20,5213.57557401504,FALSE
"Congenital_Abnormality",25,32,57,5140.79432020724,FALSE
"Conn_Syndrome",9,3,12,4928.37945845005,FALSE
"Myocardial_Ischemia",31,22,53,4814.43283880948,FALSE
"Hemorrhage",5,15,20,4486.49066294531,FALSE
"Amyloidosis",12,10,22,4110.4134898659,FALSE
"Stenosis",13,15,28,3974.93632973561,FALSE
"Coronary_Arteriosclerosis",18,24,42,3819.06240363924,FALSE
"Pre_Eclampsia",16,12,28,3786.50500517666,FALSE
"Diabetes_Mellitus_Non_Insulin_Dependent",36,19,55,3632.12311010294,FALSE
"Hyperinsulinism",12,8,20,3166.5570211004,FALSE
"Headache",19,4,23,3126.12111830893,FALSE
"Respiratory_Failure",9,3,12,3045.59006500601,FALSE
"Vasospasm",14,12,26,3010.40173155769,FALSE
"Neurodegenerative_Disorders",29,13,42,3005.01818832775,FALSE
"Nerve_Degeneration",56,5,61,2956.25521603892,FALSE
"Lack_of_sensation",63,3,66,2913.6344113391,FALSE
"Intracranial_Hypertension",7,4,11,2772.1643764782,FALSE
"Hyperuricemia",8,5,13,2771.67000980356,FALSE
"Congestive_heart_failure",27,6,33,2761.69167303256,FALSE
"Neoplasm_Metastasis",12,13,25,2731.56382317923,FALSE
"End_stage_renal_failure",37,2,39,2666.29495018304,FALSE
"Pain",22,8,30,2544.04136503443,FALSE
"Hydronephrosis",12,1,13,2526.60623440781,FALSE
"Embolism",2,13,15,2507.02226771766,FALSE
"Pulmonary_Edema",21,2,23,2493.98005598226,FALSE
"Pancreatitis",24,9,33,2471.07815086817,FALSE
"Pneumonia",15,11,26,2426.60506864605,FALSE
"Cardiovascular_Diseases",49,15,64,2327.45139261712,FALSE
"Airway_Obstruction",7,7,14,2108.99619185989,FALSE
"Atrophic",37,2,39,2070.92775459062,FALSE
"Shock",24,5,29,2060.43629411135,FALSE
"Fetal_Growth_Retardation",15,3,18,1981.23188896948,FALSE
"Proteinuria",20,2,22,1859.11973387754,FALSE
"imbalance",14,30,44,1820.34973709995,FALSE
"Rare_Diseases",21,13,34,1632.67720733269,FALSE
"Thrombocytopenia",13,4,17,1585.83213615546,FALSE
"Cerebral_hemisphere_hemorrhage",9,3,12,1481.9929144084,FALSE
"Asthma",24,9,33,1458.44761200793,FALSE
"Chronic_inflammation",32,18,50,1395.502075697,FALSE
"Purpura_Thrombotic_Thrombocytopenic",9,3,12,1330.21116382139,FALSE
"Nephrotic_Syndrome",6,2,8,1257.73034049284,FALSE
"Chronic_Obstructive_Airway_Disease",12,9,21,1246.25133457412,FALSE
"Intracranial_Hemorrhages",4,2,6,1240.18658408277,FALSE
"Down_Syndrome",3,1,4,1216,FALSE
"Arteriosclerosis",16,12,28,1203.78156900444,FALSE
"Septicemia",20,17,37,1144.32322826048,FALSE
"Traumatic_Brain_Injury",5,21,26,913.345321764942,FALSE
"Heart_Diseases",11,16,27,908.254850681187,FALSE
"Mutation",2,415,417,819.827200577201,FALSE
"Spastic_syndrome",3,8,11,787.930013694426,FALSE
"Ischemic_stroke",29,6,35,776.618729623041,FALSE
"Premature_Birth",15,5,20,775.788852559547,FALSE
"Brain_Edema",10,2,12,685.103512223827,FALSE
"Pathogenesis",16,6,22,681.867132982826,FALSE
"Vomiting",6,3,9,673.634731161905,FALSE
"Brain_Injuries",15,11,26,667.619977894378,FALSE
"Memory_impairment",25,1,26,655.543490175975,FALSE
