"node","in_degree","out_degree","total_degree","betweenness","is_generic"
"Disease",974,340,1314,927149.701237338,TRUE
"Cessation_of_life",521,0,521,0,FALSE
"Inflammation",392,102,494,142985.370059658,FALSE
"Mutation",2,415,417,819.827200577201,FALSE
"Injury",248,135,383,75496.9610399011,TRUE
"Toxic_effect",325,32,357,74476.5414348624,FALSE
"Complication",305,36,341,86483.3715406839,TRUE
"Hypertension",231,98,329,184865.306148301,FALSE
"Oxidative_Stress",249,57,306,50116.4173673082,FALSE
"Pharmaceutical_Preparations",0,269,269,0,TRUE
"Functional_disorder",199,59,258,47294.3816610369,TRUE
"Therapeutic_procedure",0,253,253,0,TRUE
"Adverse_effects",200,10,210,34912.1064188873,TRUE
"Symptoms",164,43,207,49657.6208273185,TRUE
"Neoplasm",137,55,192,42625.5927516214,FALSE
"Contraction",179,8,187,63779.1948930215,FALSE
"Syndrome",141,45,186,41981.5093183352,TRUE
"Lipopolysaccharides",0,179,179,0,FALSE
"Obstruction",87,79,166,92037.1948220247,TRUE
"Ischemia",83,76,159,79643.0162036512,FALSE
"Genes",0,155,155,0,TRUE
"Alzheimers",118,23,141,33047.228399324,FALSE
"Heart_failure",109,30,139,54437.2099823412,FALSE
"Inflammatory_Response",119,19,138,9398.23567911751,FALSE
"Diabetes",65,73,138,36139.2225046957,FALSE
"Fibrosis",117,16,133,26285.9027910041,FALSE
"Obesity",72,60,132,44432.8247042758,FALSE
"Ethanol",0,131,131,0,FALSE
"COVID_19",28,92,120,77988.5476602113,FALSE
"Cerebrovascular_accident",83,37,120,43915.0988427633,FALSE
"Virus",0,118,118,0,TRUE
"Study_models",0,104,104,0,TRUE
"Diet",0,101,101,0,FALSE
"Wounds_and_Injuries",1,98,99,37.6379750250925,FALSE
"cytokine",0,99,99,0,FALSE
"Insulin_Resistance",74,23,97,17840.6287117764,FALSE
"Disability_NOS",95,2,97,20341.8479182176,FALSE
"Degenerative_abnormality",76,19,95,17104.7635156747,FALSE
"Proteins",0,95,95,0,TRUE
"Myocardial_Infarction",55,39,94,31129.0672171249,FALSE
"Injection_procedure",0,90,90,0,FALSE
"Atherosclerosis",54,35,89,21541.5462842445,FALSE
"Agent",0,89,89,0,TRUE
"Edema",75,6,81,10731.3142063912,FALSE
"Endothelial_dysfunction",61,18,79,5870.57298974812,FALSE
"Kidney_Failure_Acute",74,2,76,8103.65409647622,FALSE
"Hypertrophy",69,7,76,8037.18915848475,FALSE
"Hypoxia",45,31,76,22936.503143657,FALSE
"Hospitalization",72,0,72,0,FALSE
"Thrombosis",48,24,72,19026.7174499272,FALSE
"Parkinson_Disease",56,15,71,17229.225574385,FALSE
"Hyperglycemia",38,31,69,20003.4476518818,FALSE
"Infection",32,37,69,23602.5152515902,FALSE
"Apoptosis",68,0,68,0,FALSE
"Lack_of_sensation",63,3,66,2913.6344113391,FALSE
"Cardiomyopathies",53,12,65,10780.6734449046,FALSE
"Growth",65,0,65,0,TRUE
"Cardiovascular_Diseases",49,15,64,2327.45139261712,FALSE
"Kidney_Failure",61,3,64,8105.73700503123,FALSE
"Process",0,64,64,0,FALSE
"Angiotensin_II",0,62,62,0,FALSE
"Reactive_Oxygen_Species",0,62,62,0,FALSE
