"Node","In_Degree","Out_Degree","Total_Degree","Betweenness"
"Cessation_of_life",510,0,510,0
"Inflammation",381,99,480,0.0187787177783575
"Mutation",2,412,414,8.91123685026876e-05
"Toxic_effect",319,26,345,0.0054543953342784
"Hypertension",217,90,307,0.0179688401074851
"Oxidative_Stress",243,55,298,0.00357746529698898
"Neoplasm",131,53,184,0.00295272408132955
"Contraction",174,7,181,0.00343321958739045
"Lipopolysaccharides",0,173,173,0
"Ischemia",73,69,142,0.00614045457687359
"Inflammatory_Response",112,17,129,0.00156788307853359
"Heart_failure",99,26,125,0.00389674699630832
"Alzheimers",105,18,123,0.00323006408649403
"Fibrosis",109,14,123,0.00209414765859465
"Ethanol",0,123,123,0
"Diabetes",54,66,120,0.00316034495557237
"Obesity",63,54,117,0.00345714347919368
"COVID_19",25,86,111,0.00627076053988708
"Cerebrovascular_accident",75,32,107,0.00395648831906781
"Diet",0,95,95,0
"Disability_NOS",91,1,92,3.10951360122184e-06
"cytokine",0,92,92,0
"Wounds_and_Injuries",0,91,91,0
"Insulin_Resistance",68,21,89,0.00111400941659932
"Degenerative_abnormality",68,17,85,0.00165774516830104
"Myocardial_Infarction",49,35,84,0.00205733558651298
"Injection_procedure",0,84,84,0
"Atherosclerosis",47,31,78,0.00247076167427383
"Endothelial_dysfunction",58,15,73,0.000791744815712277
"Edema",67,4,71,0.000697273302885915
"Kidney_Failure_Acute",67,2,69,0.000691455030312271
"Hypertrophy",64,5,69,0.000512223188972618
"Hospitalization",69,0,69,0
"Hypoxia",40,28,68,0.001835501160665
"Apoptosis",65,0,65,0
"Lack_of_sensation",61,3,64,0.000148502716793106
"Thrombosis",42,22,64,0.00155269826717746
"Process",0,62,62,0
"Hyperglycemia",33,28,61,0.00098022698051404
"Angiotensin_II",0,59,59,0
"Kidney_Failure",55,3,58,0.000594853303197527
"Parkinson_Disease",46,11,57,0.00107076585486925
"Reactive_Oxygen_Species",0,57,57,0
"TNF_protein_human_TNF",0,57,57,0
"Cardiomyopathies",46,10,56,0.000536588270014734
"Cardiovascular_Diseases",44,12,56,0.000356258672235386
"Nerve_Degeneration",51,4,55,0.000129518484943801
"cardiac_arrhythmia",46,8,54,0.000632228949138676
"Pharmacotherapy",0,54,54,0
"Operative_Surgical_Procedures",0,51,51,0
"Congenital_Abnormality",20,30,50,0.000308615793439961
"Hypertension_Pulmonary",45,5,50,0.000869478763472847
"Ligation",0,47,47,0
"Infection",18,28,46,0.00230783658392583
"Diabetes_Mellitus_Non_Insulin_Dependent",30,16,46,0.000293537095195083
"Myocardial_Ischemia",27,19,46,0.000192234236534585
"Chronic_inflammation",28,17,45,0.000142332259486959
"Extravasation",37,8,45,0.00053172189766487
"Diabetes_Mellitus",19,25,44,0.000560267736152946
"Kidney_Failure_Chronic",31,13,44,0.00144856785322789
"Kidney_Diseases",30,13,43,0.000455247603949649
"agonists",0,42,42,0
"Stress",27,14,41,5.92775760908665e-05
"Streptozocin",0,40,40,0
"Estrogens",0,39,39,0
"Peptides",0,39,39,0
"receptor",0,39,39,0
"Coronary_Arteriosclerosis",16,22,38,0.000308526505693988
"Diet_High_Fat",1,37,38,1.48844575657135e-06
"imbalance",11,26,37,0.00029630683342671
"Insulin",0,37,37,0
"Atrophic",34,1,35,0.000105562453333671
"End_stage_renal_failure",33,2,35,0.00015123702058233
"Serotonin",0,35,35,0
"Neurodegenerative_Disorders",23,10,33,0.000321719157335689
"Ischemic_stroke",27,6,33,8.80083279566404e-05
"Cadmium",0,33,33,0
"Lesion",18,15,33,5.70238850095627e-05
"Infarction",25,7,32,0.000263347976422891
"Hyperplasia",25,6,31,0.000732165346964385
"Malnutrition",16,15,31,0.00108661297293672
"Glucocorticoids",0,31,31,0
"Nitric_Oxide",0,31,31,0
"Cell_Death",30,0,30,0
"Malignant_Neoplasms",22,8,30,7.47024595996987e-05
"Cyclosporine",0,30,30,0
"cytotoxicity",29,0,29,0
"Pathological_Dilatation",21,8,29,0.000515515457252359
"Congestive_heart_failure",23,6,29,0.000147672200078539
"Hypercalcemia",25,4,29,0.000549446592462733
"Iron",0,29,29,0
"MicroRNAs",0,29,29,0
"Cushing_Syndrome",27,1,28,0.000465571609861649
"Impaired_cognition",26,2,28,5.30138747134845e-05
"IMPACT_gene",0,28,28,0
"Substance",0,28,28,0
"inhibitors",0,28,28,0
"Atrial_Fibrillation",15,11,26,0.000990949409367062
"Arteriosclerosis",15,11,26,0.000388922461021879
"Cocaine",0,26,26,0
"Pregnancy",25,0,25,0
"Vasospasm",13,12,25,4.97380200086682e-05
"Septicemia",13,12,25,8.44425558446639e-05
"depolarization",24,1,25,2.34606339059342e-07
"Antioxidants",0,25,25,0
"Calcium",0,25,25,0
"Nicotine",0,25,25,0
"Norepinephrine",0,25,25,0
"Memory_impairment",23,1,24,9.61294480243446e-05
"Rare_Diseases",16,8,24,0.000278092615977129
"Stenosis",11,13,24,0.000562216631920996
"Lipids",0,24,24,0
"Sodium_Chloride",0,24,24,0
"Neoplasm_Metastasis",12,11,23,0.000219953387051905
"Pancreatitis",17,6,23,0.000284067256550223
"Anemia",20,3,23,0.000330878535901591
"Pre_Eclampsia",14,9,23,0.000207599357855085
"Cardiac_Hypertrophy",22,1,23,3.4820965241939e-05
"Heart_Diseases",10,13,23,9.31789569467537e-05
"Epinephrine",0,23,23,0
"Ions",0,23,23,0
"Water",0,23,23,0
"Labor_Childbirth",22,0,22,0
"Dexamethasone",0,22,22,0
"Diabetic_Nephropathy",13,9,22,8.99150658092417e-05
"APP_gene",0,21,21,0
"Pulmonary_Edema",19,2,21,2.5808240980808e-05
"Vasodilation",21,0,21,0
"Shock",17,4,21,0.000170482920728813
"Sleep_Apnea_Obstructive",9,12,21,0.000722790528948107
"Traumatic_Brain_Injury",4,17,21,8.3130250495606e-05
"Compression_procedure",0,21,21,0
"Enzymes",0,21,21,0
"Excision",0,21,21,0
"Hospital_admission",20,0,20,0
"Asthma",15,5,20,2.61592952744466e-05
"Seizures",18,2,20,3.38194766372987e-06
"Metabolic_Diseases",16,4,20,5.60773050644413e-05
"Pain",16,4,20,1.98872601919562e-05
"Dopamine",0,20,20,0
"Free_Radicals",0,20,20,0
"Adrenal_Cortex_Hormones",0,19,19,0
"Necrosis",17,2,19,6.28280534088392e-07
"Brain_Injuries",13,6,19,6.77075482609967e-05
"Chronic_Kidney_Diseases",14,5,19,0.000750733414700502
"Hyperinsulinism",11,8,19,0.000256479533013224
"Steroids",0,19,19,0
"cell_injury",18,0,18,0
"Osteoporosis",17,1,18,1.3263823136793e-06
"Amyloidosis",10,8,18,0.000202983009039643
"Headache",15,3,18,0.000330392492329334
"DNA_Damage",18,0,18,0
"Metabolic_syndrome",8,10,18,6.90943792741166e-05
"Stenosis_unspecified",5,13,18,0.000487610868007234
"Premature_Birth",13,5,18,0.000134304613748169
"Epilepsy",16,2,18,3.56066803384857e-06
"Catecholamines",0,18,18,0
"Degenerative_polyarthritis",14,4,18,0.000101896649048382
"homocysteine",0,18,18,0
