"Node","In_Degree","Out_Degree","Total_Degree","Betweenness","semtype","cui"
"Cessation_of_life",510,0,510,0,NA,"C0011065"
"Inflammation",381,99,480,0.0187787177783575,NA,"C0021368"
"Mutation",2,412,414,8.91123685026876e-05,NA,"C0026882"
"Toxic_effect",319,26,345,0.0054543953342784,NA,"C0600688"
"Hypertension",217,90,307,0.0179688401074851,NA,"C0020538"
"Oxidative_Stress",243,55,298,0.00357746529698898,NA,"C0242606"
"Neoplasm",131,53,184,0.00295272408132955,NA,"C0027651"
"Contraction",174,7,181,0.00343321958739045,NA,"C1140999"
"Lipopolysaccharides",0,173,173,0,NA,"C0023810"
"Ischemia",73,69,142,0.00614045457687359,NA,"C0022116"
"Inflammatory_Response",112,17,129,0.00156788307853359,NA,"C1155266"
"Heart_failure",99,26,125,0.00389674699630832,NA,"C0018801"
"Alzheimers",105,18,123,0.00323006408649403,NA,"C0002395"
"Fibrosis",109,14,123,0.00209414765859465,NA,"C0016059"
"Ethanol",0,123,123,0,NA,"C0001962"
"Diabetes",54,66,120,0.00316034495557237,NA,"C0011847"
"Obesity",63,54,117,0.00345714347919368,NA,"C0028754"
"COVID_19",25,86,111,0.00627076053988708,NA,"C5203670"
"Cerebrovascular_accident",75,32,107,0.00395648831906781,NA,"C0038454"
"Diet",0,95,95,0,NA,"C0012155"
"Disability_NOS",91,1,92,3.10951360122184e-06,NA,"C0231170"
"cytokine",0,92,92,0,NA,"C0079189"
"Wounds_and_Injuries",0,91,91,0,NA,"C0043251"
"Insulin_Resistance",68,21,89,0.00111400941659932,NA,"C0021655"
"Degenerative_abnormality",68,17,85,0.00165774516830104,NA,"C0011164"
"Myocardial_Infarction",49,35,84,0.00205733558651298,NA,"C0027051"
"Injection_procedure",0,84,84,0,NA,"C1533685"
"Atherosclerosis",47,31,78,0.00247076167427383,NA,"C0004153"
"Endothelial_dysfunction",58,15,73,0.000791744815712277,NA,"C0856169"
"Edema",67,4,71,0.000697273302885915,NA,"C0013604"
"Kidney_Failure_Acute",67,2,69,0.000691455030312271,NA,"C0022660"
"Hypertrophy",64,5,69,0.000512223188972618,NA,"C0020564"
"Hospitalization",69,0,69,0,NA,"C0019993"
"Hypoxia",40,28,68,0.001835501160665,NA,"C0242184"
"Apoptosis",65,0,65,0,NA,"C0162638"
