"node","is_child_A","is_child_Y","cycle_len_A","cycle_len_Y","classification","is_valid"
"Oxidative_Stress",FALSE,FALSE,Inf,Inf,"Pure Confounder",TRUE
"Toxic_effect",FALSE,FALSE,Inf,Inf,"Pure Confounder",TRUE
"Degenerative_abnormality",FALSE,TRUE,3,2,"Tight Feedback",FALSE
"Inflammation",TRUE,TRUE,2,2,"Tight Feedback",FALSE
"Inflammatory_Response",FALSE,FALSE,3,4,"Tight Feedback",TRUE
"Diabetes",TRUE,FALSE,2,3,"Tight Feedback",FALSE
"Obesity",TRUE,FALSE,2,3,"Tight Feedback",FALSE
"Chronic_inflammation",FALSE,FALSE,3,4,"Tight Feedback",TRUE
"Insulin_Resistance",TRUE,FALSE,2,4,"Tight Feedback",FALSE
"Ischemia",TRUE,FALSE,2,3,"Tight Feedback",FALSE
"Hypoxia",TRUE,FALSE,2,4,"Tight Feedback",FALSE
"imbalance",FALSE,FALSE,3,4,"Tight Feedback",TRUE
"Antioxidants",FALSE,FALSE,Inf,Inf,"Pure Confounder",TRUE
"Vascular_Diseases",TRUE,FALSE,2,3,"Tight Feedback",FALSE
"Mutation",FALSE,FALSE,Inf,Inf,"Pure Confounder",TRUE
"Diet",FALSE,FALSE,Inf,Inf,"Pure Confounder",TRUE
"Pathogenesis",TRUE,FALSE,2,4,"Tight Feedback",FALSE
"IMPACT_gene",FALSE,FALSE,Inf,Inf,"Pure Confounder",TRUE
"Injection_procedure",FALSE,FALSE,Inf,Inf,"Pure Confounder",TRUE
"Intestinal_Microbiome",FALSE,FALSE,Inf,Inf,"Pure Confounder",TRUE
"Lipopolysaccharides",FALSE,FALSE,Inf,Inf,"Pure Confounder",TRUE
"MicroRNAs",FALSE,FALSE,Inf,Inf,"Pure Confounder",TRUE
"Nitric_Oxide",FALSE,FALSE,Inf,Inf,"Pure Confounder",TRUE
"Polymorphism_Genetic",FALSE,FALSE,Inf,Inf,"Pure Confounder",TRUE
"Process",FALSE,FALSE,Inf,Inf,"Pure Confounder",TRUE
"Reactive_Oxygen_Species",FALSE,FALSE,Inf,Inf,"Pure Confounder",TRUE
"Streptozocin",FALSE,FALSE,Inf,Inf,"Pure Confounder",TRUE
"receptor",FALSE,FALSE,Inf,Inf,"Pure Confounder",TRUE
