"from","to","confounder"
"COVID_19","Inflammation","Inflammatory_Response"
"COVID_19","Inflammatory_Response","Inflammatory_Response"
"COVID_19","Hypertension","Inflammatory_Response"
"COVID_19","Diabetes","Inflammatory_Response"
"Inflammation","COVID_19","Inflammatory_Response"
"Inflammation","Hypertension","Inflammatory_Response"
"Inflammation","Diabetes","Inflammatory_Response"
"Inflammation","Alzheimers","Inflammatory_Response"
"Inflammatory_Response","COVID_19","Inflammatory_Response"
"Inflammatory_Response","Hypertension","Inflammatory_Response"
"Inflammatory_Response","Alzheimers","Inflammatory_Response"
"Hypertension","Inflammation","Inflammatory_Response"
"Hypertension","Diabetes","Inflammatory_Response"
"Hypertension","Alzheimers","Inflammatory_Response"
"Diabetes","Inflammation","Inflammatory_Response"
"Diabetes","Inflammatory_Response","Inflammatory_Response"
"Diabetes","Hypertension","Inflammatory_Response"
"Diabetes","Alzheimers","Inflammatory_Response"
"Alzheimers","Inflammation","Inflammatory_Response"
