from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,"The consequences of hypertension include cerebrovascular disease, coronary heart disease, and general atherosclerosis."
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,Hypertension and related factors in the etiology of Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,17362841,https://pubmed.ncbi.nlm.nih.gov/17362841,"In recent years the renin-angiotensin system, already of recognised importance in the pathogenesis of hypertension, has become a source of interest in the pathogenesis of Alzheimer's disease."
Hypertension,Alzheimers,C0020538,C0002395,19555872,https://pubmed.ncbi.nlm.nih.gov/19555872,Cumulative evidence implicates hypertension in the pathogenesis of Alzheimer disease.
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Interestingly, RAGE inhibition protected from hypertension-induced Alzheimer pathology, as showed by rescue from cognitive impairment and parenchymal Abeta deposition."
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Overall we demonstrate that RAGE activation in brain vessels is a crucial pathogenetic event in hypertension-induced Alzheimer disease, suggesting that inhibiting this target can limit the onset of vascular-related Alzheimer disease."
Hypertension,Alzheimers,C0020538,C0002395,25976367,https://pubmed.ncbi.nlm.nih.gov/25976367,"Several preclinical and epidemiological studies have linked metabolic risk factors such as hypertension, obesity, dyslipidemia, and diabetes to the pathogenesis of AD."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"Hypertension-induced endothelial dysfunction is associated with beta-amyloid (Abeta) deposition, a typical pathology of Alzheimer's disease (AD)."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"In conclusion, eNOS downregulation contributed to hypertension-induced Alzheimer pathology and cognitive impairment."
Hypertension,Alzheimers,C0020538,C0002395,30854970,https://pubmed.ncbi.nlm.nih.gov/30854970,"Chronic, low-level environmental lead (Pb) exposure is associated with cognitive impairment, hypertension and mortality, and has been proposed as a potential cause of AD."
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,The study result showed that HTN-induced AD regulated long-term memory (LTM) loss and neuronal degeneration in the SHR animals.
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,Dipeptide IF prevents the effects of hypertension-induced Alzheimer's disease on long-term memory in the cortex of spontaneously hypertensive rats.
Hypertension,Alzheimers,C0020538,C0002395,34897090,https://pubmed.ncbi.nlm.nih.gov/34897090,Hypertension is a major risk factor for the pathogenesis of vascular dementia and Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,The results suggest that the increased risk of AD owing to hypertension is mediated through stroke.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,This implies that approximately 55% of the risk of AD owing to hypertension can be attributed to stroke.
Hypertension,Alzheimers,C0020538,C0002395,9894287,https://pubmed.ncbi.nlm.nih.gov/9894287,"A possible consequence of these findings would be to prevent, or to postpone, AD by an early treatment of arterial hypertension."
Streptozocin,Alzheimers,C0038432,C0002395,20110613,https://pubmed.ncbi.nlm.nih.gov/20110613,"In contrast, sporadic AD has been proposed to start with an insulin-resistant brain state (IRBS).We investigated the effect of IRBS induced by intracerebroventricularly (icv) administered streptozotocin (STZ) on behavior, glycogen synthase kinase-3 (GSK) alpha/beta content, and the formation of AD-like morphological hallmarks Abeta and tau protein in AbetaPP Tg2576 mice."
Streptozocin,Alzheimers,C0038432,C0002395,20110613,https://pubmed.ncbi.nlm.nih.gov/20110613,"In contrast, sporadic AD has been proposed to start with an insulin-resistant brain state (IRBS).We investigated the effect of IRBS induced by intracerebroventricularly (icv) administered streptozotocin (STZ) on behavior, glycogen synthase kinase-3 (GSK) alpha/beta content, and the formation of AD-like morphological hallmarks Abeta and tau protein in AbetaPP Tg2576 mice."
Streptozocin,Alzheimers,C0038432,C0002395,20110613,https://pubmed.ncbi.nlm.nih.gov/20110613,"In contrast, sporadic AD has been proposed to start with an insulin-resistant brain state (IRBS).We investigated the effect of IRBS induced by intracerebroventricularly (icv) administered streptozotocin (STZ) on behavior, glycogen synthase kinase-3 (GSK) alpha/beta content, and the formation of AD-like morphological hallmarks Abeta and tau protein in AbetaPP Tg2576 mice."
Streptozocin,Alzheimers,C0038432,C0002395,20683499,https://pubmed.ncbi.nlm.nih.gov/20683499,"In the present study, the effect of crocins on sporadic Alzheimer's disease induced by intracerebroventricular (icv) streptozocin (STZ) in male rats was investigated."
Streptozocin,Alzheimers,C0038432,C0002395,20683499,https://pubmed.ncbi.nlm.nih.gov/20683499,"In the present study, the effect of crocins on sporadic Alzheimer's disease induced by intracerebroventricular (icv) streptozocin (STZ) in male rats was investigated."
Streptozocin,Alzheimers,C0038432,C0002395,20683499,https://pubmed.ncbi.nlm.nih.gov/20683499,"In the present study, the effect of crocins on sporadic Alzheimer's disease induced by intracerebroventricular (icv) streptozocin (STZ) in male rats was investigated."
Streptozocin,Alzheimers,C0038432,C0002395,21465495,https://pubmed.ncbi.nlm.nih.gov/21465495,"These results suggest that antioxidant property is involved, at least in part, in the neuroprotective effect of (MeOPhSe)(2) on SDAT induced by STZ in mice."
Streptozocin,Alzheimers,C0038432,C0002395,21465495,https://pubmed.ncbi.nlm.nih.gov/21465495,"The present study investigated whether the antioxidant activity of p,p'-methoxyl-diphenyl diselenide [(MeOPhSe)(2)] is involved in its protective effect against cognitive impairment induced by streptozotocin (STZ) in a model of sporadic dementia of Alzheimer's type (SDAT)."
Streptozocin,Alzheimers,C0038432,C0002395,21465495,https://pubmed.ncbi.nlm.nih.gov/21465495,"These results suggest that antioxidant property is involved, at least in part, in the neuroprotective effect of (MeOPhSe)(2) on SDAT induced by STZ in mice."
Streptozocin,Alzheimers,C0038432,C0002395,21465495,https://pubmed.ncbi.nlm.nih.gov/21465495,"The present study investigated whether the antioxidant activity of p,p'-methoxyl-diphenyl diselenide [(MeOPhSe)(2)] is involved in its protective effect against cognitive impairment induced by streptozotocin (STZ) in a model of sporadic dementia of Alzheimer's type (SDAT)."
Streptozocin,Alzheimers,C0038432,C0002395,21465495,https://pubmed.ncbi.nlm.nih.gov/21465495,"These results suggest that antioxidant property is involved, at least in part, in the neuroprotective effect of (MeOPhSe)(2) on SDAT induced by STZ in mice."
Streptozocin,Alzheimers,C0038432,C0002395,21465495,https://pubmed.ncbi.nlm.nih.gov/21465495,"The present study investigated whether the antioxidant activity of p,p'-methoxyl-diphenyl diselenide [(MeOPhSe)(2)] is involved in its protective effect against cognitive impairment induced by streptozotocin (STZ) in a model of sporadic dementia of Alzheimer's type (SDAT)."
Streptozocin,Alzheimers,C0038432,C0002395,21701788,https://pubmed.ncbi.nlm.nih.gov/21701788,Neuroprotective effect of cyclooxygenase inhibitors in ICV-STZ induced sporadic Alzheimer's disease in rats.
Streptozocin,Alzheimers,C0038432,C0002395,21701788,https://pubmed.ncbi.nlm.nih.gov/21701788,"Chronic treatment with valeryl salicylate (5 and 10 mg/kg, i.p.) and etoricoxib (5 and 10 mg/kg, i.p.) on a daily basis for a period of 21 days, beginning 1 h prior to first intracerebroventricular streptozotocin injection, significantly improved streptozotocin-induced cognitive impairment."
Streptozocin,Alzheimers,C0038432,C0002395,21701788,https://pubmed.ncbi.nlm.nih.gov/21701788,Neuroprotective effect of cyclooxygenase inhibitors in ICV-STZ induced sporadic Alzheimer's disease in rats.
Streptozocin,Alzheimers,C0038432,C0002395,21701788,https://pubmed.ncbi.nlm.nih.gov/21701788,"Chronic treatment with valeryl salicylate (5 and 10 mg/kg, i.p.) and etoricoxib (5 and 10 mg/kg, i.p.) on a daily basis for a period of 21 days, beginning 1 h prior to first intracerebroventricular streptozotocin injection, significantly improved streptozotocin-induced cognitive impairment."
Streptozocin,Alzheimers,C0038432,C0002395,21701788,https://pubmed.ncbi.nlm.nih.gov/21701788,Neuroprotective effect of cyclooxygenase inhibitors in ICV-STZ induced sporadic Alzheimer's disease in rats.
Streptozocin,Alzheimers,C0038432,C0002395,21701788,https://pubmed.ncbi.nlm.nih.gov/21701788,"Chronic treatment with valeryl salicylate (5 and 10 mg/kg, i.p.) and etoricoxib (5 and 10 mg/kg, i.p.) on a daily basis for a period of 21 days, beginning 1 h prior to first intracerebroventricular streptozotocin injection, significantly improved streptozotocin-induced cognitive impairment."
Streptozocin,Alzheimers,C0038432,C0002395,22886014,https://pubmed.ncbi.nlm.nih.gov/22886014,Streptozotocin-induced sporadic Alzheimer's disease: selection of appropriate dose.
Streptozocin,Alzheimers,C0038432,C0002395,22886014,https://pubmed.ncbi.nlm.nih.gov/22886014,Streptozotocin-induced sporadic Alzheimer's disease: selection of appropriate dose.
Streptozocin,Alzheimers,C0038432,C0002395,22886014,https://pubmed.ncbi.nlm.nih.gov/22886014,Streptozotocin-induced sporadic Alzheimer's disease: selection of appropriate dose.
Streptozocin,Alzheimers,C0038432,C0002395,22959057,https://pubmed.ncbi.nlm.nih.gov/22959057,"Thus, the aim of the current study was to investigate the therapeutic effect of p,p'-methoxyl-diphenyl diselenide [(MeOPhSe)(2)], an organoselenium compound, against streptozotocin (STZ)-induced sporadic dementia of Alzheimer's type (SDAT) in rats."
Streptozocin,Alzheimers,C0038432,C0002395,22959057,https://pubmed.ncbi.nlm.nih.gov/22959057,The results demonstrated that (MeOPhSe)(2) dietary supplementation reverted STZ-induced memory impairment of rats in both cognitive tasks.
Streptozocin,Alzheimers,C0038432,C0002395,22959057,https://pubmed.ncbi.nlm.nih.gov/22959057,"Thus, the aim of the current study was to investigate the therapeutic effect of p,p'-methoxyl-diphenyl diselenide [(MeOPhSe)(2)], an organoselenium compound, against streptozotocin (STZ)-induced sporadic dementia of Alzheimer's type (SDAT) in rats."
Streptozocin,Alzheimers,C0038432,C0002395,22959057,https://pubmed.ncbi.nlm.nih.gov/22959057,The results demonstrated that (MeOPhSe)(2) dietary supplementation reverted STZ-induced memory impairment of rats in both cognitive tasks.
Streptozocin,Alzheimers,C0038432,C0002395,22959057,https://pubmed.ncbi.nlm.nih.gov/22959057,"Thus, the aim of the current study was to investigate the therapeutic effect of p,p'-methoxyl-diphenyl diselenide [(MeOPhSe)(2)], an organoselenium compound, against streptozotocin (STZ)-induced sporadic dementia of Alzheimer's type (SDAT) in rats."
Streptozocin,Alzheimers,C0038432,C0002395,22959057,https://pubmed.ncbi.nlm.nih.gov/22959057,The results demonstrated that (MeOPhSe)(2) dietary supplementation reverted STZ-induced memory impairment of rats in both cognitive tasks.
Streptozocin,Alzheimers,C0038432,C0002395,23210085,https://pubmed.ncbi.nlm.nih.gov/23210085,Effect of Royal Jelly on spatial learning and memory in rat model of streptozotocin-induced sporadic Alzheimer's disease.
Streptozocin,Alzheimers,C0038432,C0002395,23210085,https://pubmed.ncbi.nlm.nih.gov/23210085,Effect of Royal Jelly on spatial learning and memory in rat model of streptozotocin-induced sporadic Alzheimer's disease.
Streptozocin,Alzheimers,C0038432,C0002395,23210085,https://pubmed.ncbi.nlm.nih.gov/23210085,Effect of Royal Jelly on spatial learning and memory in rat model of streptozotocin-induced sporadic Alzheimer's disease.
Streptozocin,Alzheimers,C0038432,C0002395,23351237,https://pubmed.ncbi.nlm.nih.gov/23351237,Role of testosterone in memory impairment of Alzheimer disease induced by Streptozotocin in male rats.
Streptozocin,Alzheimers,C0038432,C0002395,23351237,https://pubmed.ncbi.nlm.nih.gov/23351237,STZ-induced memory impairment was assessed two weeks after the last dose of STZ by using a passive avoidance task (1 mA).
Streptozocin,Alzheimers,C0038432,C0002395,23351237,https://pubmed.ncbi.nlm.nih.gov/23351237,Role of testosterone in memory impairment of Alzheimer disease induced by Streptozotocin in male rats.
Streptozocin,Alzheimers,C0038432,C0002395,23351237,https://pubmed.ncbi.nlm.nih.gov/23351237,STZ-induced memory impairment was assessed two weeks after the last dose of STZ by using a passive avoidance task (1 mA).
Streptozocin,Alzheimers,C0038432,C0002395,23351237,https://pubmed.ncbi.nlm.nih.gov/23351237,Role of testosterone in memory impairment of Alzheimer disease induced by Streptozotocin in male rats.
Streptozocin,Alzheimers,C0038432,C0002395,23351237,https://pubmed.ncbi.nlm.nih.gov/23351237,STZ-induced memory impairment was assessed two weeks after the last dose of STZ by using a passive avoidance task (1 mA).
Streptozocin,Alzheimers,C0038432,C0002395,23457495,https://pubmed.ncbi.nlm.nih.gov/23457495,Selection of appropriate reference genes for RT-qPCR analysis in a streptozotocin-induced Alzheimer's disease model of cynomolgus monkeys (Macaca fascicularis).
Streptozocin,Alzheimers,C0038432,C0002395,23457495,https://pubmed.ncbi.nlm.nih.gov/23457495,Selection of appropriate reference genes for RT-qPCR analysis in a streptozotocin-induced Alzheimer's disease model of cynomolgus monkeys (Macaca fascicularis).
Streptozocin,Alzheimers,C0038432,C0002395,23457495,https://pubmed.ncbi.nlm.nih.gov/23457495,Selection of appropriate reference genes for RT-qPCR analysis in a streptozotocin-induced Alzheimer's disease model of cynomolgus monkeys (Macaca fascicularis).
Streptozocin,Alzheimers,C0038432,C0002395,23562514,https://pubmed.ncbi.nlm.nih.gov/23562514,Xanthoceraside attenuates learning and memory deficits via improving insulin signaling in STZ-induced AD rats.
Streptozocin,Alzheimers,C0038432,C0002395,23562514,https://pubmed.ncbi.nlm.nih.gov/23562514,Xanthoceraside attenuates learning and memory deficits via improving insulin signaling in STZ-induced AD rats.
Streptozocin,Alzheimers,C0038432,C0002395,23562514,https://pubmed.ncbi.nlm.nih.gov/23562514,Xanthoceraside attenuates learning and memory deficits via improving insulin signaling in STZ-induced AD rats.
Streptozocin,Alzheimers,C0038432,C0002395,23603201,https://pubmed.ncbi.nlm.nih.gov/23603201,Saxagliptin: a dipeptidyl peptidase-4 inhibitor ameliorates streptozotocin induced Alzheimer's disease.
Streptozocin,Alzheimers,C0038432,C0002395,23603201,https://pubmed.ncbi.nlm.nih.gov/23603201,Saxagliptin: a dipeptidyl peptidase-4 inhibitor ameliorates streptozotocin induced Alzheimer's disease.
