"from","to","confounder"
"Endothelial_dysfunction","Inflammation","imbalance"
"Endothelial_dysfunction","Hypertension","imbalance"
"Endothelial_dysfunction","imbalance","imbalance"
"Inflammation","Endothelial_dysfunction","imbalance"
"Inflammation","Hypertension","imbalance"
"Inflammation","Alzheimers","imbalance"
"Hypertension","Endothelial_dysfunction","imbalance"
"Hypertension","Inflammation","imbalance"
"Hypertension","Alzheimers","imbalance"
"Alzheimers","Inflammation","imbalance"
"imbalance","Endothelial_dysfunction","imbalance"
"imbalance","Hypertension","imbalance"
"imbalance","Alzheimers","imbalance"
