"confounder","in_pipeline","in_dagitty"
"Oxidative_Stress",TRUE,TRUE
"Toxic_effect",TRUE,TRUE
"Inflammatory_Response",TRUE,TRUE
"Chronic_inflammation",TRUE,TRUE
"imbalance",TRUE,TRUE
"Antioxidants",TRUE,TRUE
"Mutation",TRUE,TRUE
"Diet",TRUE,TRUE
"IMPACT_gene",TRUE,TRUE
"Injection_procedure",TRUE,TRUE
"Intestinal_Microbiome",TRUE,TRUE
"Lipopolysaccharides",TRUE,TRUE
"MicroRNAs",TRUE,TRUE
"Nitric_Oxide",TRUE,TRUE
"Polymorphism_Genetic",TRUE,TRUE
"Process",TRUE,TRUE
"Reactive_Oxygen_Species",TRUE,TRUE
"Streptozocin",TRUE,TRUE
"receptor",TRUE,TRUE
"Diabetes",FALSE,TRUE
"Insulin_Resistance",FALSE,TRUE
"Obesity",FALSE,TRUE
"Vascular_Diseases",FALSE,TRUE
