"Node","Type","In_Degree","Out_Degree","Total_Degree","Betweenness","Closeness","PageRank","In_Cycle","SCC_ID","SCC_Size"
"Hypertension","exposure",231,98,329,61646.5919136419,0.000704721634954193,0.107713807091612,TRUE,700,61
"Disease","regular",123,30,153,22223.7009074258,0.000602046959662854,0.0462716650870736,TRUE,700,61
"Alzheimers","outcome",117,23,140,15872.3533605284,0.000588928150765607,0.0493023928652522,TRUE,700,61
"Inflammation","regular",48,8,56,4163.79994727495,0.000537634408602151,0.0123487772214702,TRUE,700,61
"Obstruction","regular",5,14,19,3480.66038961039,0.000482160077145612,0.00212039909154779,TRUE,700,61
"Contraction","regular",32,1,33,2834.48333333333,0.000453309156844968,0.00941625337793853,TRUE,700,61
"Injury","regular",40,14,54,2806.3804001554,0.000529100529100529,0.00743346443143279,FALSE,673,1
"Obesity","regular",8,15,23,2457.84177489178,0.000522193211488251,0.00253863591785573,TRUE,700,61
"Heart_failure","regular",17,4,21,2074.14642857143,0.000481695568400771,0.0103414039565343,TRUE,700,61
"Toxic_effect","regular",30,4,34,2030.85519480519,0.000507356671740233,0.00568711029614516,FALSE,699,1
"Insulin_Resistance","regular",15,7,22,1975.44022366522,0.000495540138751239,0.00358885692718234,TRUE,700,61
"Ischemia","regular",9,10,19,1914.3876984127,0.000502260170768458,0.0040418284374796,TRUE,700,61
"Fibrosis","regular",20,3,23,1792.66397213897,0.000496031746031746,0.00700153963845405,TRUE,700,61
"Complication","regular",28,4,32,1691.01952769452,0.000500751126690035,0.00924892591367186,TRUE,700,61
"Functional_disorder","regular",23,7,30,1681.84001554001,0.000521104742053153,0.0072933604927553,TRUE,700,61
"Oxidative_Stress","regular",29,7,36,1567.38555333555,0.000509943906170321,0.00475681047069819,FALSE,626,1
"Cerebrovascular_accident","regular",10,5,15,1470.63888888889,0.000480769230769231,0.00513558348354964,TRUE,700,61
"Symptoms","regular",14,6,20,1287.83306693307,0.000522193211488251,0.00781956058707656,TRUE,700,61
"Degenerative_abnormality","regular",6,5,11,1079.04177489178,0.000492853622474125,0.0043137243692938,TRUE,700,61
