"Node","Type","In_Degree","Out_Degree","Total_Degree"
"Hypertension","exposure",231,98,329
"Disease","regular",123,30,153
"Alzheimers","outcome",117,23,140
"Cessation_of_life","regular",102,0,102
"Mutation","regular",0,58,58
"Inflammation","regular",48,8,56
"Injury","regular",40,14,54
"Lipopolysaccharides","regular",0,36,36
"Oxidative_Stress","regular",29,7,36
"Toxic_effect","regular",30,4,34
"Contraction","regular",32,1,33
"Pharmaceutical_Preparations","regular",0,33,33
"Complication","regular",28,4,32
"Functional_disorder","regular",23,7,30
"Therapeutic_procedure","regular",0,29,29
"Ethanol","regular",0,28,28
"Diabetes","regular",13,13,26
"Diet","regular",0,26,26
"Fibrosis","regular",20,3,23
"Obesity","regular",8,15,23
"Insulin_Resistance","regular",15,7,22
"Heart_failure","regular",17,4,21
"Adverse_effects","regular",18,2,20
"Apoptosis","regular",20,0,20
"Symptoms","regular",14,6,20
"Virus","regular",0,20,20
"COVID_19","regular",5,14,19
"Ischemia","regular",9,10,19
"Obstruction","regular",5,14,19
"Syndrome","regular",15,4,19
"Neoplasm","regular",12,6,18
"Disability_NOS","regular",16,0,16
"Cerebrovascular_accident","regular",10,5,15
"Inflammatory_Response","regular",12,3,15
"Pharmacotherapy","regular",0,15,15
"Reactive_Oxygen_Species","regular",0,15,15
"Hospitalization","regular",14,0,14
"Hyperglycemia","regular",8,6,14
"Parkinson_Disease","regular",12,2,14
"TNF_protein_human_TNF","regular",0,14,14
"Diet_High_Fat","regular",0,13,13
"Infection","regular",4,9,13
"Atherosclerosis","regular",6,6,12
"Myocardial_Infarction","regular",10,2,12
"Agent","regular",0,11,11
"Degenerative_abnormality","regular",6,5,11
"Genes","regular",0,11,11
"Lack_of_sensation","regular",11,0,11
"Cardiovascular_Diseases","regular",7,3,10
"Diabetes_Mellitus_Non_Insulin_Dependent","regular",7,3,10
"Kidney_Failure_Acute","regular",10,0,10
"Angiotensin_II","regular",0,9,9
"Edema","regular",9,0,9
"Endothelial_dysfunction","regular",6,3,9
"Hypoxia","regular",3,6,9
"Kidney_Diseases","regular",4,5,9
"Ligation","regular",0,9,9
"Proteins","regular",0,9,9
"Wounds_and_Injuries","regular",0,9,9
"cytokine","regular",0,9,9
"Cardiomyopathies","regular",6,2,8
"Diabetes_Mellitus","regular",3,5,8
"Injection_procedure","regular",0,8,8
"Kidney_Failure_Chronic","regular",6,2,8
"Septicemia","regular",2,6,8
"Streptozocin","regular",0,8,8
"End_stage_renal_failure","regular",7,0,7
"Glucocorticoids","regular",0,7,7
"Hypertrophy","regular",6,1,7
"Lesion","regular",3,4,7
"Malignant_Neoplasms","regular",4,3,7
"Study_models","regular",0,7,7
"Thrombosis","regular",2,5,7
"cardiac_arrhythmia","regular",6,1,7
"APP_gene","regular",0,6,6
"Cardiac_Hypertrophy","regular",5,1,6
"Cell_Death","regular",6,0,6
"Congenital_Abnormality","regular",3,3,6
"Diabetic_Nephropathy","regular",2,4,6
"Doxorubicin","regular",0,6,6
"Free_Radicals","regular",0,6,6
"Hypercalcemia","regular",5,1,6
"Kidney_Failure","regular",4,2,6
"Neurodegenerative_Disorders","regular",4,2,6
"Pneumonia","regular",3,3,6
"Process","regular",0,6,6
"Stress","regular",4,2,6
"Asthma","regular",1,4,5
"Chemicals","regular",0,5,5
"Diagnosis","regular",5,0,5
"Epinephrine","regular",0,5,5
"Glucose","regular",0,5,5
"Hypertension_Pulmonary","regular",4,1,5
"Insulin","regular",0,5,5
"Ischemic_stroke","regular",3,2,5
"MicroRNAs","regular",0,5,5
"Nerve_Degeneration","regular",4,1,5
"Operative_Surgical_Procedures","regular",0,5,5
"Steroids","regular",0,5,5
"Virus_Diseases","regular",1,4,5
"agonists","regular",0,5,5
"cytotoxicity","regular",5,0,5
"imbalance","regular",0,5,5
"Antioxidants","regular",0,4,4
"Arteriosclerosis","regular",2,2,4
"Bacteria","regular",0,4,4
"Blind_Vision","regular",4,0,4
"Cadmium","regular",0,4,4
"Chemokine_C_C_Motif_Ligand_4_CCL4","regular",0,4,4
"Chronic_inflammation","regular",1,3,4
"Cisplatin","regular",0,4,4
"Congestive_heart_failure","regular",2,2,4
"Coronary_Arteriosclerosis","regular",1,3,4
"Endotoxins","regular",0,4,4
"Enzymes","regular",0,4,4
"Fatty_Liver","regular",4,0,4
"Glutamate","regular",0,4,4
"Heart_Diseases","regular",1,3,4
"Hypertrophic_Cardiomyopathy","regular",2,2,4
"Impaired_cognition","regular",3,1,4
"Metabolic_Diseases","regular",4,0,4
"Myocardial_Ischemia","regular",2,2,4
"Nitric_Oxide","regular",0,4,4
"Osteoporosis","regular",4,0,4
"Pancreatitis","regular",4,0,4
"Pathogenesis","regular",1,3,4
"Scopolamine","regular",0,4,4
"Serotonin","regular",0,4,4
"Vascular_Diseases","regular",1,3,4
"cell_injury","regular",4,0,4
"depolarization","regular",4,0,4
"gene_therapy","regular",0,4,4
"inhibitors","regular",0,4,4
"oxidized_low_density_lipoprotein","regular",0,4,4
"2019_novel_coronavirus","regular",0,3,3
"Adrenal_Cortex_Hormones","regular",0,3,3
"Alloxan","regular",0,3,3
"Amyloid","regular",0,3,3
"Amyotrophic_Lateral_Sclerosis","regular",2,1,3
"Anemia","regular",3,0,3
"Antigens","regular",0,3,3
"Atrial_Fibrillation","regular",1,2,3
"Atrophic","regular",2,1,3
"Bacterial_Infections","regular",0,3,3
"Bradykinin","regular",0,3,3
"Cardiomyopathy_Dilated","regular",1,2,3
"Cerebral_hemisphere_hemorrhage","regular",2,1,3
"Chronic_Kidney_Diseases","regular",2,1,3
"Cigarette_smoke","regular",0,3,3
"Conn_Syndrome","regular",1,2,3
"Constriction_procedure","regular",0,3,3
"Cushing_Syndrome","regular",2,1,3
"Cyclosporine","regular",0,3,3
"DNA_Damage","regular",3,0,3
"DNA_Mitochondrial","regular",0,3,3
"Death_Sudden","regular",2,1,3
"Dexamethasone","regular",0,3,3
"Estrogens","regular",0,3,3
"Extravasation","regular",3,0,3
"Fetal_Growth_Retardation","regular",2,1,3
"Growth","regular",3,0,3
"Hydrogen_Peroxide","regular",0,3,3
"Hyperinsulinism","regular",1,2,3
"IMPACT_gene","regular",0,3,3
"Influenza","regular",1,2,3
"Intestinal_Microbiome","regular",0,3,3
"Ions","regular",0,3,3
"Iron","regular",0,3,3
"Isoproterenol","regular",0,3,3
"Labor_Childbirth","regular",3,0,3
"Liver_damage","regular",3,0,3
"Liver_diseases","regular",2,1,3
"Malnutrition","regular",0,3,3
"Memory_impairment","regular",2,1,3
"Metabolic_syndrome","regular",2,1,3
"Metals","regular",0,3,3
"Necrosis","regular",2,1,3
"Norepinephrine","regular",0,3,3
"Oxidopamine","regular",0,3,3
"Pain","regular",3,0,3
"Pathological_Dilatation","regular",3,0,3
"Peptides","regular",0,3,3
"Phenylephrine","regular",0,3,3
"Potassium","regular",0,3,3
"Prions","regular",0,3,3
"Respiratory_Distress_Syndrome_Adult","regular",2,1,3
"Respiratory_Failure","regular",2,1,3
"Shock","regular",2,1,3
"Substance","regular",0,3,3
"Thrombus","regular",0,3,3
"Traumatic_Brain_Injury","regular",1,2,3
"Vasospasm","regular",1,2,3
"hypoglycemia","regular",3,0,3
"particle","regular",0,3,3
"receptor","regular",0,3,3
