"Node"                                               , "Type"    , "In_Degree", "Out_Degree", "Total_Degree", "Betweenness"         , "Closeness"         , "PageRank"          , "In_Cycle", "SCC_ID", "SCC_Size"
"Disease"                                            , "regular" ,         282,           87,            369, 65122.0700891746      , 0.000618046971569839, 0.106635163098785   , TRUE      ,      815,         60
"Inflammation"                                       , "regular" ,         106,           24,            130, 10868.1709308808      , 0.000478011472275335, 0.026199936751239   , TRUE      ,      815,         60
"Hypertension"                                       , "exposure",          50,           19,             69, 10104.3202749981      , 0.000533049040511727, 0.0157752288238857  , TRUE      ,      815,         60
"Obstruction"                                        , "regular" ,          20,           25,             45,  8678.39942593638     , 0.000443852640923213, 0.00437308511809649 , TRUE      ,      815,         60
"Obesity"                                            , "regular" ,          18,           23,             41,  5671.08709701826     , 0.000476644423260248, 0.00593309162205958 , TRUE      ,      815,         60
"Oxidative_Stress"                                   , "regular" ,          67,           12,             79,  5545.07927674953     , 0.000441501103752759, 0.0150077164136419  , FALSE     ,      809,          1
"Ischemia"                                           , "regular" ,          19,           24,             43,  4656.94797979798     , 0.000454545454545455, 0.00509843920651058 , TRUE      ,      815,         60
"Complication"                                       , "regular" ,          60,            6,             66,  4189.94942557443     , 0.000449842555105713, 0.0195958051875568  , TRUE      ,      815,         60
"Neoplasm"                                           , "regular" ,          35,           11,             46,  3698.50952380952     , 0.000419991600167997, 0.0116379610121535  , TRUE      ,      804,          4
"Fibrosis"                                           , "regular" ,          43,            4,             47,  3629.97657861462     , 0.000446627958910228, 0.0134329652594561  , TRUE      ,      815,         60
"Cerebrovascular_accident"                           , "regular" ,          25,           11,             36,  3566.86065878566     , 0.000435729847494553, 0.00890618405648269 , TRUE      ,      815,         60
"Functional_disorder"                                , "regular" ,          44,           16,             60,  3537.01090862205     , 0.000459347726228755, 0.0114505239344282  , TRUE      ,      815,         60
"Insulin_Resistance"                                 , "regular" ,          22,           12,             34,  1843.06491598645     , 0.0004151100041511  , 0.00462226826923063 , TRUE      ,      815,         60
"Hypoxia"                                            , "regular" ,           6,            8,             14,  1790.49896214897     , 0.000425894378194208, 0.00308260318889083 , TRUE      ,      815,         60
"Kidney_Failure_Chronic"                             , "regular" ,          14,            4,             18,  1706.46944444444     , 0.000422297297297297, 0.00470792752489561 , TRUE      ,      815,         60
"Alzheimers"                                         , "outcome" ,          23,            3,             26,  1077.68337773338     , 0.000458505272810637, 0.00761236762935553 , TRUE      ,      815,         60
