"Node"                                               , "Type"    , "In_Degree", "Out_Degree", "Total_Degree"
"Disease"                                            , "regular" ,         282,           87,            369
"Cessation_of_life"                                  , "regular" ,         191,            0,            191
"Mutation"                                           , "regular" ,           0,          135,            135
"Inflammation"                                       , "regular" ,         106,           24,            130
"Oxidative_Stress"                                   , "regular" ,          67,           12,             79
"Pharmaceutical_Preparations"                        , "regular" ,           0,           77,             77
"Hypertension"                                       , "exposure",          50,           19,             69
"Therapeutic_procedure"                              , "regular" ,           0,           69,             69
"Complication"                                       , "regular" ,          60,            6,             66
"Functional_disorder"                                , "regular" ,          44,           16,             60
"Fibrosis"                                           , "regular" ,          43,            4,             47
"Neoplasm"                                           , "regular" ,          35,           11,             46
"Obstruction"                                        , "regular" ,          20,           25,             45
"Ethanol"                                            , "regular" ,           0,           45,             45
"Heart_failure"                                      , "regular" ,          40,            4,             44
"Ischemia"                                           , "regular" ,          19,           24,             43
"Syndrome"                                           , "regular" ,          34,            7,             41
"Obesity"                                            , "regular" ,          18,           23,             41
"Cerebrovascular_accident"                           , "regular" ,          25,           11,             36
"Diet"                                               , "regular" ,           0,           35,             35
"Insulin_Resistance"                                 , "regular" ,          22,           12,             34
"Alzheimers"                                         , "outcome" ,          23,            3,             26
"Diabetes"                                           , "regular" ,          11,           13,             24
"Genes"                                              , "regular" ,           0,           24,             24
"Proteins"                                           , "regular" ,           0,           23,             23
"Angiotensin_II"                                     , "regular" ,           0,           21,             21
"Endothelial_dysfunction"                            , "regular" ,          17,            4,             21
"Nerve_Degeneration"                                 , "regular" ,          16,            3,             19
"Hypertrophy"                                        , "regular" ,          16,            3,             19
"Kidney_Failure_Chronic"                             , "regular" ,          14,            4,             18
"Cardiovascular_Diseases"                            , "regular" ,          12,            6,             18
"Study_models"                                       , "regular" ,           0,           18,             18
"Streptozocin"                                       , "regular" ,           0,           17,             17
"Injury"                                             , "regular" ,           7,            9,             16
"Kidney_Diseases"                                    , "regular" ,           8,            6,             14
"Diabetes_Mellitus_Non_Insulin_Dependent"            , "regular" ,           9,            5,             14
"Hypoxia"                                            , "regular" ,           6,            8,             14
"Toxic_effect"                                       , "regular" ,          10,            3,             13
"Atherosclerosis"                                    , "regular" ,           7,            6,             13
"End_stage_renal_failure"                            , "regular" ,          12,            1,             13
"Hyperglycemia"                                      , "regular" ,           7,            6,             13
"Glucocorticoids"                                    , "regular" ,           0,           13,             13
"Infection"                                          , "regular" ,           5,            7,             12
"Process"                                            , "regular" ,           0,           12,             12
"APP_gene"                                           , "regular" ,           0,           11,             11
"Apoptosis"                                          , "regular" ,          11,            0,             11
"Parkinson_Disease"                                  , "regular" ,           9,            2,             11
"Stress"                                             , "regular" ,           6,            5,             11
"Nitric_Oxide"                                       , "regular" ,           0,           11,             11
"Kidney_Failure"                                     , "regular" ,           9,            1,             10
"Malignant_Neoplasms"                                , "regular" ,           7,            3,             10
"Peptides"                                           , "regular" ,           0,            9,              9
"Cell_Death"                                         , "regular" ,           8,            0,              8
"Amyloid"                                            , "regular" ,           0,            8,              8
"Cardiac_Hypertrophy"                                , "regular" ,           7,            1,              8
"Contraction"                                        , "regular" ,           8,            0,              8
"Cyclosporine"                                       , "regular" ,           0,            8,              8
"Hyperinsulinism"                                    , "regular" ,           5,            3,              8
"Septicemia"                                         , "regular" ,           3,            5,              8
"Symptoms"                                           , "regular" ,           5,            3,              8
"Adverse_effects"                                    , "regular" ,           5,            2,              7
"Growth"                                             , "regular" ,           7,            0,              7
"Diabetes_Mellitus"                                  , "regular" ,           1,            6,              7
"Metabolic_Diseases"                                 , "regular" ,           5,            2,              7
"Pancreatitis"                                       , "regular" ,           5,            2,              7
"Kidney_Failure_Acute"                               , "regular" ,           6,            1,              7
"Myocardial_Infarction"                              , "regular" ,           4,            3,              7
"cardiac_arrhythmia"                                 , "regular" ,           6,            1,              7
