"Node","SCC_ID","SCC_Size"
"Abnormal_renal_function",700,61
"Adverse_effects",700,61
"Alzheimers",700,61
"Amyloid_deposition",700,61
"Arteriosclerosis",700,61
"Asthma",700,61
"Atherosclerosis",700,61
"Atrial_Fibrillation",700,61
"Atrophic",700,61
"Cardiac_Hypertrophy",700,61
"Cardiomyopathies",700,61
"Cardiovascular_Diseases",700,61
"Cerebral_atrophy",700,61
"Cerebrovascular_accident",700,61
"Chronic_Kidney_Diseases",700,61
"Chronic_inflammation",700,61
"Complication",700,61
"Contraction",700,61
"Coronary_Arteriosclerosis",700,61
"Degenerative_abnormality",700,61
"Diabetes",700,61
"Diabetes_Mellitus",700,61
"Diabetes_Mellitus_Non_Insulin_Dependent",700,61
"Diabetic_Nephropathy",700,61
"Disease",700,61
"Endothelial_dysfunction",700,61
"Essential_Hypertension",700,61
"Fetal_Growth_Retardation",700,61
"Fibrosis",700,61
"Functional_disorder",700,61
"Heart_Diseases",700,61
"Heart_failure",700,61
"Hydronephrosis",700,61
"Hyperglycemia",700,61
"Hyperinsulinism",700,61
"Hypertension",700,61
"Hypertrophy",700,61
"Hypoxia",700,61
"Infection",700,61
"Inflammation",700,61
"Inflammatory_Response",700,61
"Insulin_Resistance",700,61
"Ischemia",700,61
"Kidney_Diseases",700,61
"Kidney_Failure",700,61
"Kidney_Failure_Chronic",700,61
"Metabolic_syndrome",700,61
"Myocardial_Infarction",700,61
"Myocardial_Ischemia",700,61
"Neurodegenerative_Disorders",700,61
"Obesity",700,61
"Obstruction",700,61
"Parkinson_Disease",700,61
"Pathogenesis",700,61
"Pre_Eclampsia",700,61
"Renal_Insufficiency",700,61
"Spastic_syndrome",700,61
"Stiffness",700,61
"Symptoms",700,61
"Syndrome",700,61
"Vascular_Diseases",700,61
"Malignant_Neoplasms",684,2
"Neoplasm",684,2
"vascular_factor",1,1
"tert_Butylhydroperoxide",2,1
"tau_Proteins",3,1
"sorafenib",4,1
"sevoflurane",5,1
"rotenone",6,1
"receptor",7,1
"presenilin_1",8,1
"presenilin",9,1
"potassium_oxonate",10,1
"particle",11,1
"parathyroid_hormone_related_protein",12,1
"oxidized_low_density_lipoprotein",13,1
"neuronal",14,1
"neuron_loss",15,1
"microbial",16,1
"inhibitors",17,1
"imbalance",18,1
"hydrochloride",19,1
"homocysteine",20,1
"glucose_high",21,1
"gene_therapy",22,1
"gamma_secretase",23,1
"galactose",24,1
"diabetic",25,1
"desoxycorticosterone_acetate",26,1
"cytokine",27,1
"carrageenan",28,1
"bevacizumab",29,1
"beta_site_APP_cleaving_enzyme_1_BACE1",30,1
"arginine_methyl_ester",31,1
"aorta_constriction",32,1
"aluminum_chloride",33,1
"aluminum",34,1
"alpha_Synuclein",35,1
"alanosine",36,1
"agonists",37,1
"adenoma",38,1
"adenine",39,1
"Zymosan",40,1
"Zinc",41,1
"Xylella_fastidiosa",42,1
"Xenobiotics",43,1
"Wounds_and_Injuries",44,1
"West_Nile_virus",45,1
"Water",46,1
"Vitamin_K_3",47,1
"Vitamin_D_Deficiency",48,1
"Virus",49,1
"Virus_Diseases",50,1
"Virulence_Factors",51,1
"Venoms",52,1
"Vasodilation_disorder",53,1
"Vasoconstrictor_Agents",54,1
"Vaccines",55,1
"Vaccination",56,1
"Uric_Acid",57,1
"Unilateral_renal_artery_stenosis",58,1
"Unilateral_nephrectomy",59,1
"U_44619",60,1
"Turpentine",61,1
"Tuberculosis",62,1
"Trisomy",63,1
"Treatment_Protocols",64,1
"Transplantation",65,1
"Transforming_Growth_Factor_beta",66,1
"Toxoplasma_gondii",67,1
"Toxin",68,1
"Tourniquets",69,1
"Thrombus",70,1
"Thrombophilia",71,1
"Thrombosis",72,1
"Thromboembolism",73,1
"Thiopental",74,1
"Thioacetamide",75,1
"Therapeutic_procedure",76,1
"Tetradecanoylphorbol_Acetate",77,1
"Testosterone",78,1
"Takayasu_s_Arteritis",79,1
"Tacrolimus",80,1
"Tachycardia",81,1
"TNF_protein_human_TNF",82,1
"Up_Regulation_Physiology",83,1
"TGFB1_protein_human_TGFB1",84,1
"Systolic_dysfunction",85,1
"Superoxides",86,1
"Sugars",87,1
"Sudden_infant_death_syndrome",88,1
"Substance_P",89,1
"Substance",90,1
"Subarachnoid_Hemorrhage",91,1
"Vasospasm",92,1
"Study_models",93,1
"Streptozocin",94,1
"Streptococcus_pyogenes",95,1
"Streptococcus_pneumoniae",96,1
"Streptococcus_Group_B",97,1
"Streptococcus",98,1
"Stimulus",99,1
"Steroids",100,1
"Stenosis_unspecified",101,1
"Stenosis",102,1
"Starvation",103,1
"Staphylococcus_aureus",104,1
"Spinal_Cord_Injuries",105,1
"Solutions",106,1
"Sodium_Glutamate",107,1
"Sodium_Chloride_Dietary",108,1
"Sodium_Chloride",109,1
"Sodium",110,1
"Smoke",111,1
"Sleep_Apnea_Syndromes",112,1
"Sleep_Apnea_Obstructive",113,1
"Single_Nucleotide_Polymorphism",114,1
"Simian_virus_40",115,1
"Shock_Hemorrhagic",116,1
"Shock_Cardiogenic",117,1
"Serotonin",118,1
"Sensory_denervation_disorder",119,1
"Scopolamine",120,1
"Salts",121,1
"Salmonella",122,1
"Saline",123,1
"SUCLA2_gene_SUCLA2",124,1
"SARS_coronavirus",125,1
"Rous_sarcoma_virus",126,1
"Rickets",127,1
"Rheumatoid_Arthritis",128,1
"Rhabdomyolysis",129,1
"Retroviridae",130,1
"Respiratory_syncytial_virus",131,1
"Respiratory_Tract_Infections",132,1
"Respiratory_Syncytial_Virus_Infections",133,1
"Respiratory_Insufficiency",134,1
"Respiration_Disorders",135,1
"Reperfusion_Injury",136,1
"Renin",137,1
"Renal_vascular_disorders_NOS",138,1
"Renal_ischaemia",139,1
"Renal_infarction",140,1
"Renal_artery_occlusion",141,1
"Renal_Artery_Stenosis",142,1
"Relaxation",143,1
"Recurrence",144,1
"Recombinant_Erythropoietin",145,1
"Reactive_Oxygen_Species",146,1
"Tissue_damage",147,1
"Radiation_therapy",148,1
"Radiation",149,1
"ROS1_wt_Allele_ROS1",150,1
"RNA_Viruses",151,1
"Pulmonary_Embolism",152,1
"Pseudoaneurysm",153,1
"Protozoan_parasite",154,1
"Protozoa",155,1
"Proteins",156,1
"Prostaglandins",157,1
"Propofol",158,1
"Process",159,1
"Prions",160,1
"Prion_Diseases",161,1
"Pressors",162,1
"Potassium_Chloride",163,1
"Potassium",164,1
"Polyomavirus",165,1
"Polymorphism_Genetic",166,1
"Point_Mutation",167,1
"Players",168,1
"Plasma",169,1
"Placental_Insufficiency",170,1
"Pick_Disease_of_the_Brain",171,1
"Physical_findings",172,1
"Pheochromocytoma",173,1
"Phenylephrine",174,1
"Pharmacotherapy",175,1
"Thrombocytopenia",176,1
"Stomatitis",177,1
"Pharmaceutical_Preparations",178,1
"Weight_Gain",179,1
"Toxic_Epidermal_Necrolysis",180,1
"Torsades_de_Pointes",181,1
"Seizures",182,1
"Poisoning",183,1
"Pesticides",184,1
"Peripheral_Neuropathy",185,1
"Perinephritis",186,1
"Peptidyl_Dipeptidase_A",187,1
"Peptides",188,1
"Pathologic_Processes",189,1
"Pathogenic_organism",190,1
"Pathogenic_Variant",191,1
"Parasites",192,1
"Paraquat",193,1
"Paraganglioma",194,1
"Pandemics",195,1
"Palmitates",196,1
"PSEN1",197,1
"PS2_protein_alzheimer_associated_PSEN2",198,1
"Oxytocin",199,1
"Oxygen",200,1
"Oxidopamine",201,1
"Oxidative_Damage",202,1
"Oxidation",203,1
"Oxidants",204,1
"Overweight",205,1
"Ovalbumin",206,1
"Ouabain",207,1
"Orthomyxoviridae",208,1
"Organism",209,1
"Oral_Mucositis",210,1
"Opioids",211,1
"Operative_Surgical_Procedures",212,1
"Oncogenes",213,1
"Oleic_Acid",214,1
"Okadaic_Acid",215,1
"Norepinephrine",216,1
"depolarization",217,1
"Nontuberculous_Mycobacteria",218,1
"Noncommunicable_Diseases",219,1
"Noise",220,1
"Nitroglycerin",221,1
"Nitroarginine",222,1
"Nitric_Oxide_Synthase",223,1
"Nitric_Oxide",224,1
"Vasodilation",225,1
"Nicotinic_Receptors",226,1
"Nicotine",227,1
"Neutropenia",228,1
"Neurotoxins",229,1
"Neuropathy",230,1
"Nephrectomy",231,1
"Nematoda",232,1
"Neisseria_meningitidis",233,1
"Na_K_Exchanging_ATPase",234,1
"N_Methylaspartate",235,1
"NOS3_protein_human_NOS3",236,1
"NG_Nitroarginine_Methyl_Ester",237,1
"Myelosuppression",238,1
"Mycoses",239,1
"Mycobacterium_tuberculosis",240,1
"Mutation_Missense",241,1
"Mutation",242,1
"nervous_system_disorder",243,1
"hearing_impairment",244,1
"beta_Thalassemia",245,1
"X_linked_agammaglobulinemia",246,1
"Spinal_Muscular_Atrophy",247,1
"Skin_Diseases_Genetic",248,1
"Rett_Syndrome",249,1
"Retinitis_Pigmentosa",250,1
"Retinal_Degeneration",251,1
"Rare_Diseases",252,1
"Primary_immune_deficiency_disorder",253,1
"Polycystic_Kidney_Autosomal_Dominant",254,1
"Parkinsonian_Disorders",255,1
"Osteogenesis_Imperfecta",256,1
"Neuromuscular_Diseases",257,1
"Myopathy",258,1
"Myasthenic_Syndromes_Congenital",259,1
"Musculoskeletal_Diseases",260,1
"Muscular_Dystrophy_Duchenne",261,1
"Muscular_Dystrophies",262,1
"Multiple_Sclerosis",263,1
"Multiple_Organ_Failure",264,1
"Mucositis",265,1
"Monocrotaline",266,1
"Molecule",267,1
"Mixture",268,1
"Mitochondrial_Diseases",269,1
"Mineralocorticoids",270,1
"Mineralocorticoid_Receptor",271,1
"Migraine_Disorders",272,1
"Middle_Cerebral_Artery_Occlusion",273,1
"Midazolam",274,1
"Microplastics",275,1
"Microorganism",276,1
"MicroRNAs",277,1
"Silence",278,1
"Methylcholanthrene",279,1
"Methamphetamine",280,1
"Methacholine",281,1
"Metals_Heavy",282,1
"Metals",283,1
"Mental_deterioration",284,1
"Massive_hemorrhage",285,1
"Marfan_Syndrome",286,1
"Malnutrition",287,1
"Malaria",288,1
"Magnesium",289,1
"MAPT_protein_human_MAPT",290,1
"MAPT",291,1
"Lysosomal_Storage_Diseases",292,1
"Lung_diseases",293,1
"Lung_Diseases_Interstitial",294,1
"Long_QT_Syndrome",295,1
"Liver_Failure",296,1
"Little_s_Disease",297,1
"Liquid_substance",298,1
"Lipopolysaccharides",299,1
"microglial_cell_activation",300,1
"Shock_Endotoxic",301,1
"Shock",302,1
"Septic_Shock",303,1
"Peritonitis",304,1
"Neuroinflammation",305,1
"Memory_impairment",306,1
"Lung_Injury",307,1
"Liver_Failure_Acute",308,1
"Lipids",309,1
"Ligation",310,1
"Septicemia",311,1
"Licorice",312,1
